Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,NOH,NBA,SG,73,17,1872,398,883,0.451,117,313,0.374,281,570,0.493,0.517,144,177,0.814,72,139,211,114,58,11,76,127,1057
2010-11,23,TOT,NBA,SG,73,23,1775,350,807,0.434,88,240,0.367,262,567,0.462,0.488,145,184,0.788,61,197,258,135,64,9,93,110,933
2010-11,23,NOH,NBA,SG,46,0,745,137,334,0.41,35,93,0.376,102,241,0.423,0.463,50,66,0.758,25,106,131,43,19,4,37,50,359
2010-11,23,SAC,NBA,SG,27,23,1030,213,473,0.45,53,147,0.361,160,326,0.491,0.506,95,118,0.805,36,91,127,92,45,5,56,60,574
2011-12,24,SAC,NBA,SG,51,51,1780,352,803,0.438,107,310,0.345,245,493,0.497,0.505,141,163,0.865,84,104,188,98,71,12,84,111,952
2012-13,25,SAC,NBA,SG,72,8,1726,332,774,0.429,141,379,0.372,191,395,0.484,0.52,111,126,0.881,50,131,181,91,61,4,68,105,916
2013-14,26,TOT,NBA,SG,72,27,1741,252,639,0.394,109,316,0.345,143,323,0.443,0.48,90,112,0.804,57,141,198,77,58,11,67,110,703
2013-14,26,SAC,NBA,SG,46,26,1121,142,373,0.381,57,179,0.318,85,194,0.438,0.457,42,52,0.808,39,85,124,47,31,8,38,74,383
2013-14,26,BRK,NBA,SG,26,1,620,110,266,0.414,52,137,0.38,58,129,0.45,0.511,48,60,0.8,18,56,74,30,27,3,29,36,320
2014-15,27,BOS,NBA,SG,16,0,230,43,101,0.426,14,34,0.412,29,67,0.433,0.495,10,13,0.769,7,15,22,13,8,3,7,9,110
Career,,,NBA,,357,126,9124,1727,4007,0.431,576,1592,0.362,1151,2415,0.477,0.503,641,775,0.827,331,727,1058,528,320,50,395,572,4671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,SAC,NBA,,196,108,5657,1039,2423,0.429,358,1015,0.353,681,1408,0.484,0.503,389,459,0.847,209,411,620,328,208,29,246,350,2825
2 seasons,,NOH,NBA,,119,17,2617,535,1217,0.44,152,406,0.374,383,811,0.472,0.502,194,243,0.798,97,245,342,157,77,15,113,177,1416
1 season,,BRK,NBA,,26,1,620,110,266,0.414,52,137,0.38,58,129,0.45,0.511,48,60,0.8,18,56,74,30,27,3,29,36,320
1 season,,BOS,NBA,,16,0,230,43,101,0.426,14,34,0.412,29,67,0.433,0.495,10,13,0.769,7,15,22,13,8,3,7,9,110
