
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,20,BOS,NBA,PF,71,1,1051,195,369,.528,0,3,.000,195,366,.533,.528,85,135,.630,119,193,312,24,22,55,66,195,475
2005-06,21,BOS,NBA,PF,59,7,1062,189,379,.499,0,4,.000,189,375,.504,.499,86,134,.642,97,202,299,30,30,46,62,166,464
2006-07,22,BOS,NBA,C,69,60,2319,453,882,.514,0,1,.000,453,881,.514,.514,201,295,.681,237,519,756,88,48,106,136,232,1107
2007-08,23,MIN,NBA,C,82,82,2919,721,1441,.500,0,5,.000,721,1436,.502,.500,284,394,.721,308,603,911,117,74,119,167,222,1726
2008-09,24,MIN,NBA,C,50,50,1836,485,975,.497,0,4,.000,485,971,.499,.497,186,252,.738,172,376,548,79,39,83,92,141,1156
2009-10,25,MIN,NBA,C,76,76,2463,560,1125,.498,0,4,.000,560,1121,.500,.498,181,266,.680,180,523,703,137,63,98,136,205,1301
2010-11,26,UTA,NBA,C,82,82,2940,654,1319,.496,0,0,,654,1319,.496,.496,220,289,.761,235,559,794,149,46,153,105,238,1528
2011-12,27,UTA,NBA,C,61,61,2075,516,1048,.492,1,4,.250,515,1044,.493,.493,137,177,.774,133,452,585,134,47,101,62,155,1170
2012-13,28,UTA,NBA,C,78,78,2578,611,1236,.494,2,17,.118,609,1219,.500,.495,167,217,.770,156,564,720,164,80,89,105,170,1391
2013-14,29,CHA,NBA,C,73,73,2553,700,1376,.509,3,15,.200,697,1361,.512,.510,191,277,.690,156,636,792,155,67,79,124,176,1594
2014-15,30,CHO,NBA,C,21,21,693,179,367,.488,0,1,.000,179,366,.489,.488,56,82,.683,40,129,169,38,10,23,23,42,414
Career,,,NBA,,722,591,22489,5263,10517,.500,6,58,.103,5257,10459,.503,.501,1794,2518,.712,1833,4756,6589,1115,526,952,1078,1942,12326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,UTA,NBA,,221,221,7593,1781,3603,.494,3,21,.143,1778,3582,.496,.495,524,683,.767,524,1575,2099,447,173,343,272,563,4089
3 seasons,,MIN,NBA,,208,208,7218,1766,3541,.499,0,13,.000,1766,3528,.501,.499,651,912,.714,660,1502,2162,333,176,300,395,568,4183
3 seasons,,BOS,NBA,,199,68,4432,837,1630,.513,0,8,.000,837,1622,.516,.513,372,564,.660,453,914,1367,142,100,207,264,593,2046
2 seasons,,CHACHO,NBA,,94,94,3246,879,1743,.504,3,16,.188,876,1727,.507,.505,247,359,.688,196,765,961,193,77,102,147,218,2008
