
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,26,SAS,NBA,SG,80,1,1685,285,632,.451,129,308,.419,156,324,.481,.553,84,104,.808,21,175,196,96,27,4,78,148,783
2011-12,27,SAS,NBA,SG,56,7,1206,212,486,.436,83,198,.419,129,288,.448,.522,50,64,.781,12,106,118,117,27,2,60,75,557
2012-13,28,SAS,NBA,SG,68,17,1484,246,597,.412,89,251,.355,157,346,.454,.487,64,74,.865,13,130,143,129,30,2,69,93,645
2013-14,29,TOT,NBA,SG,52,3,1114,193,471,.410,68,180,.378,125,291,.430,.482,94,105,.895,10,80,90,83,18,0,64,65,548
2013-14,29,MIL,NBA,SG,30,2,607,108,277,.390,40,111,.360,68,166,.410,.462,45,54,.833,8,42,50,46,7,0,39,26,301
2013-14,29,CHA,NBA,SG,22,1,507,85,194,.438,28,69,.406,57,125,.456,.510,49,51,.961,2,38,40,37,11,0,25,39,247
2014-15,30,CHO,NBA,SG,15,0,359,58,145,.400,15,41,.366,43,104,.413,.452,45,52,.865,5,35,40,24,6,0,15,27,176
Career,,,NBA,,271,28,5848,994,2331,.426,384,978,.393,610,1353,.451,.509,337,399,.845,61,526,587,449,108,8,286,408,2709
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAS,NBA,,204,25,4375,743,1715,.433,301,757,.398,442,958,.461,.521,198,242,.818,46,411,457,342,84,8,207,316,1985
2 seasons,,CHACHO,NBA,,37,1,866,143,339,.422,43,110,.391,100,229,.437,.485,94,103,.913,7,73,80,61,17,0,40,66,423
1 season,,MIL,NBA,,30,2,607,108,277,.390,40,111,.360,68,166,.410,.462,45,54,.833,8,42,50,46,7,0,39,26,301
