
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,21,PHO,NBA,SF,51,38,1260,222,471,.471,4,22,.182,218,449,.486,.476,72,85,.847,105,227,332,69,38,53,51,113,520
2000-01,22,PHO,NBA,SF,79,79,2857,557,1160,.480,21,82,.256,536,1078,.497,.489,234,289,.810,220,628,848,160,132,108,129,211,1369
2001-02,23,PHO,NBA,SF,81,81,3109,654,1395,.469,48,122,.393,606,1273,.476,.486,191,226,.845,211,592,803,162,149,86,144,214,1547
2002-03 ★,24,PHO,NBA,SF,81,81,3373,662,1466,.452,141,364,.387,521,1102,.473,.500,251,295,.851,199,574,773,198,185,95,157,208,1716
2003-04,25,PHO,NBA,SF,79,79,3217,590,1341,.440,90,265,.340,500,1076,.465,.474,228,268,.851,212,525,737,214,167,104,156,203,1498
2004-05 ★,26,PHO,NBA,PF,81,81,3146,613,1289,.476,114,341,.334,499,948,.526,.520,229,275,.833,235,680,915,154,163,119,125,199,1569
2005-06 ★,27,PHO,NBA,PF,81,81,3263,716,1365,.525,96,290,.331,620,1075,.577,.560,241,298,.809,249,710,959,143,160,137,125,223,1769
2006-07 ★,28,PHO,NBA,SF,80,80,3010,561,1071,.524,80,252,.317,481,819,.587,.561,201,248,.810,172,613,785,134,156,122,114,216,1403
2007-08,29,TOT,NBA,PF,63,62,2315,400,787,.508,66,198,.333,334,589,.567,.550,106,150,.707,136,507,643,138,125,85,86,150,972
2007-08,29,PHO,NBA,PF,47,47,1713,304,578,.526,58,167,.347,246,411,.599,.576,77,108,.713,86,378,464,98,95,70,49,117,743
2007-08,29,MIA,NBA,PF,16,15,602,96,209,.459,8,31,.258,88,178,.494,.478,29,42,.690,50,129,179,40,30,15,37,33,229
2008-09,30,TOT,NBA,SF,69,68,2470,382,788,.485,10,53,.189,372,735,.506,.491,117,147,.796,180,409,589,139,88,66,105,132,891
2008-09,30,MIA,NBA,SF,42,41,1516,215,446,.482,8,40,.200,207,406,.510,.491,67,85,.788,107,258,365,77,57,45,56,92,505
2008-09,30,TOR,NBA,SF,27,27,954,167,342,.488,2,13,.154,165,329,.502,.491,50,62,.806,73,151,224,62,31,21,49,40,386
2009-10,31,DAL,NBA,SF,75,75,2385,395,778,.508,3,19,.158,392,759,.516,.510,105,139,.755,158,319,477,107,69,61,99,141,898
2010-11,32,DAL,NBA,SF,80,27,2253,434,834,.520,5,33,.152,429,801,.536,.523,126,164,.768,168,383,551,110,68,50,130,144,999
2011-12,33,DAL,NBA,SF,63,63,1919,288,646,.446,20,68,.294,268,578,.464,.461,74,93,.796,145,320,465,132,67,36,98,87,670
2012-13,34,DAL,NBA,PF,67,67,2010,355,690,.514,23,73,.315,332,617,.538,.531,79,101,.782,146,379,525,163,75,47,103,111,812
2013-14,35,DAL,NBA,SF,76,76,2409,341,708,.482,58,162,.358,283,546,.518,.523,51,65,.785,132,365,497,124,90,37,95,125,791
2014-15,36,CLE,NBA,SF,20,17,489,45,102,.441,10,24,.417,35,78,.449,.490,11,12,.917,18,55,73,21,11,14,15,22,111
Career,,,NBA,,1126,1055,39485,7215,14891,.485,789,2368,.333,6426,12523,.513,.511,2316,2855,.811,2686,7286,9972,2168,1743,1220,1732,2499,17535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,PHO,NBA,,660,647,24948,4879,10136,.481,652,1905,.342,4227,8231,.514,.514,1724,2092,.824,1689,4927,6616,1332,1245,894,1050,1704,12134
5 seasons,,DAL,NBA,,361,308,10976,1813,3656,.496,109,355,.307,1704,3301,.516,.511,435,562,.774,749,1766,2515,636,369,231,525,608,4170
2 seasons,,MIA,NBA,,58,56,2118,311,655,.475,16,71,.225,295,584,.505,.487,96,127,.756,157,387,544,117,87,60,93,125,734
1 season,,TOR,NBA,,27,27,954,167,342,.488,2,13,.154,165,329,.502,.491,50,62,.806,73,151,224,62,31,21,49,40,386
1 season,,CLE,NBA,,20,17,489,45,102,.441,10,24,.417,35,78,.449,.490,11,12,.917,18,55,73,21,11,14,15,22,111
