
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,20,LAC,NBA,SF,81,14,1452,160,406,.394,45,143,.315,115,263,.437,.450,92,119,.773,75,192,267,60,59,25,103,121,457
2011-12,21,NOH,NBA,SF,66,21,1477,150,365,.411,13,47,.277,137,318,.431,.429,86,114,.754,95,213,308,66,59,34,91,136,399
2012-13,22,NOH,NBA,SF,76,71,2066,225,474,.475,4,19,.211,221,455,.486,.479,101,137,.737,139,446,585,103,92,51,116,153,555
2013-14,23,NOP,NBA,SF,80,65,2045,234,494,.474,13,48,.271,221,446,.496,.487,91,137,.664,129,367,496,114,82,38,88,147,572
2014-15,24,DAL,NBA,SF,23,2,380,47,103,.456,11,42,.262,36,61,.590,.510,19,28,.679,19,70,89,14,13,17,13,36,124
Career,,,NBA,,326,173,7420,816,1842,.443,86,299,.288,730,1543,.473,.466,389,535,.727,457,1288,1745,357,305,165,411,593,2107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NOHNOP,NBA,,222,157,5588,609,1333,.457,30,114,.263,579,1219,.475,.468,278,388,.716,363,1026,1389,283,233,123,295,436,1526
1 season,,LAC,NBA,,81,14,1452,160,406,.394,45,143,.315,115,263,.437,.450,92,119,.773,75,192,267,60,59,25,103,121,457
1 season,,DAL,NBA,,23,2,380,47,103,.456,11,42,.262,36,61,.590,.510,19,28,.679,19,70,89,14,13,17,13,36,124
