
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,20,GSW,NBA,SF,38,6,376,62,112,.554,0,0,,62,112,.554,.554,27,40,.675,38,61,99,9,6,22,13,36,151
2008-09,21,GSW,NBA,PF,39,23,688,130,246,.528,0,4,.000,130,242,.537,.528,63,85,.741,62,95,157,21,22,37,23,74,323
2009-10,22,Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder),Did Not Play (injury—shoulder)
2010-11,23,TOT,NBA,PF,37,2,379,60,117,.513,0,0,,60,117,.513,.513,21,31,.677,31,58,89,12,11,17,14,34,141
2010-11,23,GSW,NBA,PF,21,1,195,38,63,.603,0,0,,38,63,.603,.603,7,14,.500,14,27,41,5,3,10,10,19,83
2010-11,23,NJN,NBA,PF,16,1,184,22,54,.407,0,0,,22,54,.407,.407,14,17,.824,17,31,48,7,8,7,4,15,58
2011-12,24,DAL,NBA,C,49,0,791,144,233,.618,0,1,.000,144,232,.621,.618,52,82,.634,62,112,174,13,22,63,21,61,340
2012-13,25,DAL,NBA,C,64,16,1149,241,404,.597,0,3,.000,241,401,.601,.597,59,96,.615,85,175,260,38,26,76,34,78,541
2013-14,26,DAL,NBA,C,58,0,1077,224,331,.677,0,0,,224,331,.677,.677,77,106,.726,102,142,244,31,32,55,35,94,525
2014-15,27,DAL,NBA,PF,24,0,455,91,122,.746,0,0,,91,122,.746,.746,31,42,.738,47,52,99,10,16,38,11,40,213
Career,,,NBA,,309,47,4915,952,1565,.608,0,8,.000,952,1557,.611,.608,330,482,.685,427,695,1122,134,135,308,151,417,2234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DAL,NBA,,195,16,3472,700,1090,.642,0,4,.000,700,1086,.645,.642,219,326,.672,296,481,777,92,96,232,101,273,1619
3 seasons,,GSW,NBA,,98,30,1259,230,421,.546,0,4,.000,230,417,.552,.546,97,139,.698,114,183,297,35,31,69,46,129,557
1 season,,NJN,NBA,,16,1,184,22,54,.407,0,0,,22,54,.407,.407,14,17,.824,17,31,48,7,8,7,4,15,58
