Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,23,MIN,NBA,PG,82,12,1879,300,691,0.434,68,185,0.368,232,506,0.458,0.483,164,192,0.854,49,169,218,232,53,21,152,184,832
2007-08,24,MIN,NBA,PG,39,31,1259,198,462,0.429,61,148,0.412,137,314,0.436,0.495,53,65,0.815,13,115,128,164,36,3,79,102,510
2008-09,25,MIN,NBA,SG,70,61,2494,399,981,0.407,111,308,0.36,288,673,0.428,0.463,230,272,0.846,34,180,214,303,72,26,150,201,1139
2009-10,26,WAS,NBA,PG,70,38,1667,256,619,0.414,63,182,0.346,193,437,0.442,0.464,129,145,0.89,16,114,130,228,33,10,94,123,704
2010-11,27,LAC,NBA,SG,63,24,1551,206,531,0.388,71,217,0.327,135,314,0.43,0.455,133,149,0.893,13,90,103,170,47,21,95,122,616
2011-12,28,LAC,NBA,SG,65,48,1682,256,644,0.398,127,329,0.386,129,315,0.41,0.496,73,85,0.859,25,113,138,146,46,24,73,130,712
2012-13,29,UTA,NBA,SG,82,72,2249,293,738,0.397,178,434,0.41,115,304,0.378,0.518,118,144,0.819,17,110,127,167,66,27,92,190,882
2013-14,30,DEN,NBA,SG,81,78,2485,361,875,0.413,189,498,0.38,172,377,0.456,0.521,157,185,0.849,36,196,232,287,67,39,145,205,1068
2014-15,31,DEN,NBA,SG,11,0,209,30,80,0.375,17,49,0.347,13,31,0.419,0.481,15,19,0.789,1,14,15,22,6,1,10,22,92
Career,,,NBA,,563,364,15475,2299,5621,0.409,885,2350,0.377,1414,3271,0.432,0.488,1072,1256,0.854,204,1101,1305,1719,426,172,890,1279,6555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,191,104,5632,897,2134,0.42,240,641,0.374,657,1493,0.44,0.477,447,529,0.845,96,464,560,699,161,50,381,487,2481
2 seasons,,LAC,NBA,,128,72,3233,462,1175,0.393,198,546,0.363,264,629,0.42,0.477,206,234,0.88,38,203,241,316,93,45,168,252,1328
2 seasons,,DEN,NBA,,92,78,2694,391,955,0.409,206,547,0.377,185,408,0.453,0.517,172,204,0.843,37,210,247,309,73,40,155,227,1160
1 season,,UTA,NBA,,82,72,2249,293,738,0.397,178,434,0.41,115,304,0.378,0.518,118,144,0.819,17,110,127,167,66,27,92,190,882
1 season,,WAS,NBA,,70,38,1667,256,619,0.414,63,182,0.346,193,437,0.442,0.464,129,145,0.89,16,114,130,228,33,10,94,123,704
