Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,TOT,NBA,C,45,14,524,63,133,0.474,0,0,,63,133,0.474,0.474,37,52,0.712,46,75,121,15,15,25,35,84,163
2010-11,24,NYK,NBA,C,34,14,458,52,112,0.464,0,0,,52,112,0.464,0.464,31,44,0.705,41,63,104,15,14,23,32,76,135
2010-11,24,DEN,NBA,C,11,0,66,11,21,0.524,0,0,,11,21,0.524,0.524,6,8,0.75,5,12,17,0,1,2,3,8,28
2011-12,25,DEN,NBA,C,44,35,687,100,190,0.526,0,0,,100,190,0.526,0.526,39,57,0.684,53,126,179,22,15,42,53,86,239
2012-13,26,DEN,NBA,C,41,1,366,44,87,0.506,0,2,0,44,85,0.518,0.506,20,26,0.769,50,57,107,9,6,18,25,57,108
2013-14,27,DEN,NBA,C,82,30,1770,285,545,0.523,4,24,0.167,281,521,0.539,0.527,196,260,0.754,171,357,528,62,27,100,122,213,770
2014-15,28,DEN,NBA,C,22,22,586,89,157,0.567,1,4,0.25,88,153,0.575,0.57,42,55,0.764,62,112,174,11,10,30,33,75,221
Career,,,NBA,,234,102,3933,581,1112,0.522,5,30,0.167,576,1082,0.532,0.525,334,450,0.742,382,727,1109,119,73,215,268,515,1501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,DEN,NBA,,200,88,3475,529,1000,0.529,5,30,0.167,524,970,0.54,0.532,303,406,0.746,341,664,1005,104,59,192,236,439,1366
1 season,,NYK,NBA,,34,14,458,52,112,0.464,0,0,,52,112,0.464,0.464,31,44,0.705,41,63,104,15,14,23,32,76,135
