
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,TOT,NBA,SG,60,0,719,104,268,.388,42,132,.318,62,136,.456,.466,31,39,.795,9,90,99,39,18,5,25,52,281
2009-10,22,MIL,NBA,SG,41,0,486,64,177,.362,23,82,.280,41,95,.432,.427,18,21,.857,5,67,72,22,13,4,20,33,169
2009-10,22,PHI,NBA,SG,19,0,233,40,91,.440,19,50,.380,21,41,.512,.544,13,18,.722,4,23,27,17,5,1,5,19,112
2010-11,23,PHI,NBA,SG,74,64,2062,242,570,.425,138,348,.397,104,222,.468,.546,152,170,.894,21,150,171,78,63,4,60,97,774
2011-12,24,PHI,NBA,SG,66,50,1644,191,467,.409,97,266,.365,94,201,.468,.513,77,85,.906,17,144,161,54,40,3,29,82,556
2012-13,25,LAL,NBA,SG,78,10,1663,205,530,.387,122,342,.357,83,188,.441,.502,86,96,.896,37,134,171,69,58,5,52,103,618
2013-14,26,LAL,NBA,SG,77,70,2556,413,892,.463,162,404,.401,251,488,.514,.554,221,258,.857,30,164,194,138,111,4,111,119,1209
Career,,,NBA,,355,194,8644,1155,2727,.424,561,1492,.376,594,1235,.481,.526,567,648,.875,114,682,796,378,290,21,277,453,3438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,PHI,NBA,,159,114,3939,473,1128,.419,254,664,.383,219,464,.472,.532,242,273,.886,42,317,359,149,108,8,94,198,1442
2 seasons,,LAL,NBA,,155,80,4219,618,1422,.435,284,746,.381,334,676,.494,.534,307,354,.867,67,298,365,207,169,9,163,222,1827
1 season,,MIL,NBA,,41,0,486,64,177,.362,23,82,.280,41,95,.432,.427,18,21,.857,5,67,72,22,13,4,20,33,169
