
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,22,NYK,NBA,SF,67,14,1129,137,230,.596,0,0,,137,230,.596,.596,71,123,.577,109,194,303,43,30,20,51,124,345
2006-07,23,NYK,NBA,PF,58,12,1731,240,400,.600,0,0,,240,400,.600,.600,141,173,.815,196,406,602,104,48,23,92,155,621
2007-08,24,NYK,NBA,PF,81,29,2356,341,618,.552,0,2,.000,341,616,.554,.552,194,237,.819,242,482,724,95,55,29,97,210,876
2008-09,25,NYK,NBA,C,81,74,2824,522,951,.549,0,3,.000,522,948,.551,.549,249,330,.755,256,695,951,174,80,22,150,260,1293
2009-10 ★,26,NYK,NBA,C,81,81,3019,686,1258,.545,0,8,.000,686,1250,.549,.545,268,330,.812,228,721,949,295,85,40,189,257,1640
2010-11,27,GSW,NBA,PF,73,73,2634,496,978,.507,1,3,.333,495,975,.508,.508,210,267,.787,217,497,714,233,74,31,170,211,1203
2011-12,28,GSW,NBA,PF,57,57,2121,464,922,.503,0,5,.000,464,917,.506,.503,219,280,.782,171,374,545,162,54,22,149,179,1147
2012-13 ★,29,GSW,NBA,PF,79,79,2907,602,1160,.519,0,4,.000,602,1156,.521,.519,255,320,.797,218,668,886,279,67,22,207,246,1459
2013-14,30,GSW,NBA,PF,69,67,2288,513,981,.523,0,1,.000,513,980,.523,.523,231,296,.780,182,461,643,147,48,26,152,206,1257
2014-15,31,GSW,NBA,PF,1,0,7,3,4,.750,0,0,,3,4,.750,.750,0,0,,0,0,0,0,0,0,1,0,6
Career,,,NBA,,647,486,21016,4004,7502,.534,1,26,.038,4003,7476,.535,.534,1838,2356,.780,1819,4498,6317,1532,541,235,1258,1848,9847
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,NYK,NBA,,368,210,11059,1926,3457,.557,0,13,.000,1926,3444,.559,.557,923,1193,.774,1031,2498,3529,711,298,134,579,1006,4775
5 seasons,,GSW,NBA,,279,276,9957,2078,4045,.514,1,13,.077,2077,4032,.515,.514,915,1163,.787,788,2000,2788,821,243,101,679,842,5072
