
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,IND,NBA,SG,75,19,1803,243,575,.423,78,209,.373,165,366,.451,.490,46,66,.697,34,199,233,66,38,37,75,128,610
2009-10,24,IND,NBA,SG,82,64,2491,297,702,.423,124,302,.411,173,400,.433,.511,56,89,.629,41,305,346,112,56,65,93,159,774
2010-11,25,IND,NBA,SG,67,21,1754,217,515,.421,93,223,.417,124,292,.425,.512,80,106,.755,33,184,217,62,41,35,69,107,607
2011-12,26,GSW,NBA,SF,65,1,1717,235,469,.501,99,219,.452,136,250,.544,.607,65,82,.793,33,218,251,88,35,58,68,64,634
2012-13,27,GSW,NBA,SF,2,0,25,6,9,.667,0,2,.000,6,7,.857,.667,2,3,.667,0,1,1,2,0,0,3,5,14
2013-14,28,UTA,NBA,SG,38,0,418,30,90,.333,16,47,.340,14,43,.326,.422,3,5,.600,5,39,44,24,5,9,20,31,79
2014-15,29,GSW,NBA,SG,11,0,102,4,21,.190,1,11,.091,3,10,.300,.214,0,0,,0,11,11,4,1,5,6,8,9
Career,,,NBA,,340,105,8310,1032,2381,.433,411,1013,.406,621,1368,.454,.520,252,351,.718,146,957,1103,358,176,209,334,502,2727
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,224,104,6048,757,1792,.422,295,734,.402,462,1058,.437,.505,182,261,.697,108,688,796,240,135,137,237,394,1991
3 seasons,,GSW,NBA,,78,1,1844,245,499,.491,100,232,.431,145,267,.543,.591,67,85,.788,33,230,263,94,36,63,77,77,657
1 season,,UTA,NBA,,38,0,418,30,90,.333,16,47,.340,14,43,.326,.422,3,5,.600,5,39,44,24,5,9,20,31,79
