
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,22,SAS,NBA,PG,77,7,1270,150,372,.403,24,73,.329,126,299,.421,.435,114,146,.781,30,128,158,136,45,21,74,150,438
2009-10,23,SAS,NBA,PG,78,43,2276,353,738,.478,75,188,.399,278,550,.505,.529,183,237,.772,42,163,205,226,69,26,101,222,964
2010-11,24,SAS,NBA,PG,76,5,2148,287,633,.453,77,204,.377,210,429,.490,.514,233,270,.863,24,175,199,193,66,21,99,153,884
2011-12,25,IND,NBA,PG,50,9,1274,168,380,.442,54,147,.367,114,233,.489,.513,91,117,.778,31,120,151,145,42,17,52,98,481
2012-13,26,IND,NBA,PG,76,76,2620,386,871,.443,130,353,.368,256,518,.494,.518,174,213,.817,47,237,284,355,81,26,116,134,1076
2013-14,27,IND,NBA,PG,76,76,2434,272,616,.442,95,260,.365,177,356,.497,.519,142,176,.807,53,230,283,265,75,23,92,158,781
Career,,,NBA,,433,216,12022,1616,3610,.448,455,1225,.371,1161,2385,.487,.511,937,1159,.808,227,1053,1280,1320,378,134,534,915,4624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAS,NBA,,231,55,5694,790,1743,.453,176,465,.378,614,1278,.480,.504,530,653,.812,96,466,562,555,180,68,274,525,2286
3 seasons,,IND,NBA,,202,161,6328,826,1867,.442,279,760,.367,547,1107,.494,.517,407,506,.804,131,587,718,765,198,66,260,390,2338
