
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,SAS,NBA,C,6,0,23,6,12,.500,0,0,,6,12,.500,.500,9,9,1.000,0,5,5,1,0,4,2,4,21
2008-09,22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2009-10,23,SAS,NBA,C,26,0,165,35,55,.636,0,0,,35,55,.636,.636,31,47,.660,13,39,52,2,3,8,15,32,101
2010-11,24,DAL,NBA,C,56,0,488,55,98,.561,0,2,.000,55,96,.573,.561,63,82,.768,43,77,120,8,14,15,25,105,173
2011-12,25,DAL,NBA,C,61,12,1139,130,238,.546,0,1,.000,130,237,.549,.546,94,147,.639,108,181,289,12,38,31,50,176,354
2012-13,26,IND,NBA,C,80,2,1322,149,329,.453,0,2,.000,149,327,.456,.453,104,171,.608,115,196,311,27,39,66,92,201,402
2013-14,27,IND,NBA,C,77,1,1248,91,189,.481,0,1,.000,91,188,.484,.481,90,145,.621,107,150,257,24,41,72,58,207,272
2014-15,28,IND,NBA,C,20,4,366,44,72,.611,0,0,,44,72,.611,.611,9,29,.310,37,78,115,11,10,13,20,52,97
Career,,,NBA,,326,19,4751,510,993,.514,0,6,.000,510,987,.517,.514,400,630,.635,423,726,1149,85,145,209,262,777,1420
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,IND,NBA,,177,7,2936,284,590,.481,0,3,.000,284,587,.484,.481,203,345,.588,259,424,683,62,90,151,170,460,771
2 seasons,,DAL,NBA,,117,12,1627,185,336,.551,0,3,.000,185,333,.556,.551,157,229,.686,151,258,409,20,52,46,75,281,527
2 seasons,,SAS,NBA,,32,0,188,41,67,.612,0,0,,41,67,.612,.612,40,56,.714,13,44,57,3,3,12,17,36,122
