
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,21,SAC,NBA,SF,74,7,1245,138,335,.412,28,86,.326,110,249,.442,.454,87,112,.777,49,161,210,69,52,24,55,139,391
2001-02,22,SAC,NBA,SF,80,10,1970,290,687,.422,63,171,.368,227,516,.440,.468,167,230,.726,63,300,363,163,57,31,81,184,810
2002-03,23,SAC,NBA,SF,67,11,1175,165,391,.422,29,78,.372,136,313,.435,.459,88,110,.800,35,153,188,87,25,12,50,125,447
2003-04,24,SAS,NBA,SF,80,44,2073,262,645,.406,101,241,.419,161,404,.399,.484,114,161,.708,52,306,358,154,80,32,94,165,739
2004-05,25,ORL,NBA,SF,67,11,1757,328,782,.419,93,245,.380,235,537,.438,.479,188,225,.836,62,171,233,153,41,18,119,140,937
2005-06,26,ORL,NBA,SF,78,59,2615,398,877,.454,114,283,.403,284,594,.478,.519,255,296,.861,70,263,333,216,70,21,130,234,1165
2006-07,27,ORL,NBA,SF,73,73,2268,345,823,.419,109,281,.388,236,542,.435,.485,171,219,.781,57,236,293,233,70,16,143,221,970
2007-08,28,ORL,NBA,SF,82,82,3026,556,1219,.456,166,415,.400,390,804,.485,.524,324,391,.829,83,388,471,409,74,25,246,244,1602
2008-09,29,ORL,NBA,SF,77,77,2815,423,1025,.413,134,376,.356,289,649,.445,.478,314,389,.807,45,365,410,375,64,19,204,218,1294
2009-10,30,TOR,NBA,SF,74,69,2272,276,674,.409,108,289,.374,168,385,.436,.490,175,226,.774,42,301,343,304,55,32,125,220,835
2010-11,31,TOT,NBA,SF-PF,81,72,2540,322,722,.446,127,310,.410,195,412,.473,.534,106,156,.679,45,311,356,343,72,34,132,247,877
2010-11,31,PHO,NBA,PF,25,16,630,85,193,.440,41,97,.423,44,96,.458,.547,26,36,.722,20,80,100,58,18,14,31,77,237
2010-11,31,ORL,NBA,SF,56,56,1910,237,529,.448,86,213,.404,151,316,.478,.529,80,120,.667,25,231,256,285,54,20,101,170,640
2011-12,32,ORL,NBA,SF,53,53,1653,209,504,.415,91,258,.353,118,246,.480,.505,67,95,.705,24,175,199,233,45,17,142,139,576
2012-13,33,ORL,NBA,SF,11,1,189,14,53,.264,1,24,.042,13,29,.448,.274,3,6,.500,4,22,26,23,7,1,12,11,32
2013-14,34,LAC,NBA,SF,38,0,392,42,109,.385,22,50,.440,20,59,.339,.486,9,18,.500,11,78,89,33,19,10,16,50,115
2014-15,35,LAC,NBA,SF,17,0,158,17,34,.500,10,20,.500,7,14,.500,.647,1,2,.500,3,15,18,10,6,0,5,14,45
Career,,,NBA,,952,569,26148,3785,8880,.426,1196,3127,.382,2589,5753,.450,.494,2069,2636,.785,645,3245,3890,2805,737,292,1554,2351,10835
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,ORL,NBA,,497,412,16233,2510,5812,.432,794,2095,.379,1716,3717,.462,.500,1402,1741,.805,370,1851,2221,1927,425,137,1097,1377,7216
3 seasons,,SAC,NBA,,221,28,4390,593,1413,.420,120,335,.358,473,1078,.439,.462,342,452,.757,147,614,761,319,134,67,186,448,1648
1 season,,SAS,NBA,,80,44,2073,262,645,.406,101,241,.419,161,404,.399,.484,114,161,.708,52,306,358,154,80,32,94,165,739
1 season,,TOR,NBA,,74,69,2272,276,674,.409,108,289,.374,168,385,.436,.490,175,226,.774,42,301,343,304,55,32,125,220,835
2 seasons,,LAC,NBA,,55,0,550,59,143,.413,32,70,.457,27,73,.370,.524,10,20,.500,14,93,107,43,25,10,21,64,160
1 season,,PHO,NBA,,25,16,630,85,193,.440,41,97,.423,44,96,.458,.547,26,36,.722,20,80,100,58,18,14,31,77,237
