
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,MIN,NBA,SG,76,1,1384,190,448,.424,64,162,.395,126,286,.441,.496,61,70,.871,33,126,159,74,20,5,74,72,505
2010-11,23,MIN,NBA,SG,62,8,1181,160,397,.403,48,121,.397,112,276,.406,.463,42,53,.792,26,82,108,72,28,3,53,85,410
2011-12,24,MIN,NBA,SG,51,4,973,122,302,.404,35,108,.324,87,194,.448,.462,32,40,.800,14,85,99,33,26,10,26,56,311
2012-13,25,TOT,NBA,SG,78,21,1661,226,529,.427,94,240,.392,132,289,.457,.516,68,75,.907,25,141,166,104,45,3,57,81,614
2012-13,25,MEM,NBA,SG,40,4,676,81,199,.407,41,97,.423,40,102,.392,.510,15,16,.938,5,47,52,42,16,1,24,38,218
2012-13,25,CLE,NBA,SG,38,17,985,145,330,.439,53,143,.371,92,187,.492,.520,53,59,.898,20,94,114,62,29,2,33,43,396
2013-14,26,DAL,NBA,SG,45,1,393,55,126,.437,25,59,.424,30,67,.448,.536,10,11,.909,8,35,43,19,16,2,11,33,145
2014-15,27,LAL,NBA,SG,15,0,258,44,90,.489,15,38,.395,29,52,.558,.572,5,8,.625,6,31,37,11,6,1,3,12,108
Career,,,NBA,,327,35,5850,797,1892,.421,281,728,.386,516,1164,.443,.496,218,257,.848,112,500,612,313,141,24,224,339,2093
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,189,13,3538,472,1147,.412,147,391,.376,325,756,.430,.476,135,163,.828,73,293,366,179,74,18,153,213,1226
1 season,,DAL,NBA,,45,1,393,55,126,.437,25,59,.424,30,67,.448,.536,10,11,.909,8,35,43,19,16,2,11,33,145
1 season,,MEM,NBA,,40,4,676,81,199,.407,41,97,.423,40,102,.392,.510,15,16,.938,5,47,52,42,16,1,24,38,218
1 season,,CLE,NBA,,38,17,985,145,330,.439,53,143,.371,92,187,.492,.520,53,59,.898,20,94,114,62,29,2,33,43,396
1 season,,LAL,NBA,,15,0,258,44,90,.489,15,38,.395,29,52,.558,.572,5,8,.625,6,31,37,11,6,1,3,12,108
