
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1996-97,22,PHO,NBA,PG,65,2,684,74,175,.423,23,55,.418,51,120,.425,.489,42,51,.824,16,47,63,138,20,0,63,92,213
1997-98,23,PHO,NBA,PG,76,9,1664,268,584,.459,81,195,.415,187,389,.481,.528,74,86,.860,32,128,160,262,63,4,98,145,691
1998-99,24,DAL,NBA,PG,40,40,1269,114,314,.363,49,131,.374,65,183,.355,.441,38,46,.826,32,82,114,219,37,2,83,98,315
1999-00,25,DAL,NBA,PG,56,27,1532,173,363,.477,60,149,.403,113,214,.528,.559,75,85,.882,34,87,121,272,37,3,102,122,481
2000-01,26,DAL,NBA,PG,70,70,2387,386,792,.487,89,219,.406,297,573,.518,.544,231,258,.895,46,177,223,509,72,5,205,158,1092
2001-02 ★,27,DAL,NBA,PG,82,82,2837,525,1088,.483,156,343,.455,369,745,.495,.554,260,293,.887,50,204,254,634,53,4,229,164,1466
2002-03 ★,28,DAL,NBA,PG,82,82,2711,518,1114,.465,111,269,.413,407,845,.482,.515,308,339,.909,63,171,234,598,85,6,192,134,1455
2003-04,29,DAL,NBA,PG,78,78,2612,397,845,.470,104,257,.405,293,588,.498,.531,230,251,.916,59,173,232,687,67,8,209,139,1128
2004-05 ★,30,PHO,NBA,PG,75,75,2573,430,857,.502,94,218,.431,336,639,.526,.557,211,238,.887,57,192,249,861,74,6,245,136,1165
2005-06 ★,31,PHO,NBA,PG,79,79,2796,541,1056,.512,150,342,.439,391,714,.548,.583,257,279,.921,47,286,333,826,61,12,276,120,1489
2006-07 ★,32,PHO,NBA,PG,76,76,2682,517,971,.532,156,343,.455,361,628,.575,.613,222,247,.899,30,239,269,884,57,6,287,117,1412
2007-08 ★,33,PHO,NBA,PG,81,81,2780,485,962,.504,179,381,.470,306,581,.527,.597,222,245,.906,28,254,282,898,53,5,295,113,1371
2008-09,34,PHO,NBA,PG,74,74,2484,428,851,.503,108,246,.439,320,605,.529,.566,196,210,.933,19,204,223,717,55,10,248,108,1160
2009-10 ★,35,PHO,NBA,PG,81,81,2660,499,985,.507,124,291,.426,375,694,.540,.570,211,225,.938,34,234,268,892,42,12,295,108,1333
2010-11,36,PHO,NBA,PG,75,75,2497,399,811,.492,81,205,.395,318,606,.525,.542,227,249,.912,40,220,260,855,48,4,265,87,1106
2011-12 ★,37,PHO,NBA,PG,62,62,1961,295,555,.532,55,141,.390,240,414,.580,.581,127,142,.894,26,160,186,664,38,8,229,53,772
2012-13,38,LAL,NBA,PG,50,50,1627,236,475,.497,57,130,.438,179,345,.519,.557,107,116,.922,26,116,142,333,30,5,126,70,636
2013-14,39,LAL,NBA,PG,15,10,313,36,94,.383,8,24,.333,28,70,.400,.426,22,24,.917,4,25,29,86,7,2,31,18,102
Career,,,NBA,,1217,1053,38069,6321,12892,.490,1685,3939,.428,4636,8953,.518,.556,3060,3384,.904,643,2999,3642,10335,899,102,3478,1982,17387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,PHO,NBA,,744,614,22781,3936,7807,.504,1051,2417,.435,2885,5390,.535,.571,1789,1972,.907,329,1964,2293,6997,511,67,2301,1079,10712
6 seasons,,DAL,NBA,,408,379,13348,2113,4516,.468,569,1368,.416,1544,3148,.490,.531,1142,1272,.898,284,894,1178,2919,351,28,1020,815,5937
2 seasons,,LAL,NBA,,65,60,1940,272,569,.478,65,154,.422,207,415,.499,.535,129,140,.921,30,141,171,419,37,7,157,88,738
