
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,22,MIL,NBA,PF,46,12,555,97,191,.508,3,9,.333,94,182,.516,.516,21,28,.750,45,75,120,25,14,17,18,67,218
2012-13,23,TOT,NBA,PF-C,28,0,187,25,52,.481,0,3,.000,25,49,.510,.481,6,13,.462,13,24,37,8,6,0,8,21,56
2012-13,23,CLE,NBA,C,9,0,91,10,28,.357,0,3,.000,10,25,.400,.357,2,6,.333,5,8,13,5,2,0,5,11,22
2012-13,23,MEM,NBA,PF,19,0,96,15,24,.625,0,0,,15,24,.625,.625,4,7,.571,8,16,24,3,4,0,3,10,34
2013-14,24,MEM,NBA,PF,49,0,642,121,246,.492,23,49,.469,98,197,.497,.539,37,47,.787,37,121,158,20,18,13,27,63,302
2014-15,25,MEM,NBA,PF,19,0,293,50,103,.485,6,12,.500,44,91,.484,.515,13,19,.684,17,54,71,14,6,4,12,22,119
Career,,,NBA,,142,12,1677,293,592,.495,32,73,.438,261,519,.503,.522,77,107,.720,112,274,386,67,44,34,65,173,695
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MEM,NBA,,87,0,1031,186,373,.499,29,61,.475,157,312,.503,.538,54,73,.740,62,191,253,37,28,17,42,95,455
1 season,,MIL,NBA,,46,12,555,97,191,.508,3,9,.333,94,182,.516,.516,21,28,.750,45,75,120,25,14,17,18,67,218
1 season,,CLE,NBA,,9,0,91,10,28,.357,0,3,.000,10,25,.400,.357,2,6,.333,5,8,13,5,2,0,5,11,22
