
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,22,DET,NBA,SF,42,5,435,53,118,.449,20,47,.426,33,71,.465,.534,11,17,.647,5,40,45,24,10,14,21,25,137
2003-04,23,DET,NBA,SF,82,80,2701,338,723,.467,57,157,.363,281,566,.496,.507,108,141,.766,93,297,390,191,63,69,119,149,841
2004-05,24,DET,NBA,SF,82,82,3039,469,963,.487,47,138,.341,422,825,.512,.511,221,274,.807,133,302,435,247,56,71,135,161,1206
2005-06,25,DET,NBA,SF,82,82,2898,455,999,.455,64,183,.350,391,816,.479,.487,182,238,.765,104,242,346,186,62,39,91,96,1156
2006-07,26,DET,NBA,SF,82,82,3001,459,997,.460,81,210,.386,378,787,.480,.501,172,224,.768,144,285,429,227,51,55,98,116,1171
2007-08,27,DET,NBA,SF,82,82,2694,421,940,.448,53,146,.363,368,794,.463,.476,185,241,.768,109,289,398,268,42,33,91,90,1080
2008-09,28,DET,NBA,SF,82,82,3057,459,1020,.450,56,141,.397,403,879,.458,.477,189,243,.778,128,348,476,253,44,51,101,104,1163
2009-10,29,DET,NBA,SF,49,49,1664,282,580,.486,27,73,.370,255,507,.503,.509,70,98,.714,71,177,248,161,34,22,60,77,661
2010-11,30,DET,NBA,SF,78,78,2562,473,1001,.473,34,98,.347,439,903,.486,.490,118,168,.702,78,251,329,215,30,41,82,90,1098
2011-12,31,DET,NBA,SF,63,63,2087,336,798,.421,37,104,.356,299,694,.431,.444,89,115,.774,72,209,281,153,27,32,74,77,798
2012-13,32,TOT,NBA,SF,82,81,2631,359,820,.438,38,94,.404,321,726,.442,.461,96,130,.738,72,292,364,196,48,25,89,86,852
2012-13,32,DET,NBA,SF,45,45,1457,215,484,.444,23,53,.434,192,431,.445,.468,74,93,.796,43,166,209,111,21,13,54,45,527
2012-13,32,MEM,NBA,SF,37,36,1174,144,336,.429,15,41,.366,129,295,.437,.451,22,37,.595,29,126,155,85,27,12,35,41,325
2013-14,33,MEM,NBA,SF,76,76,1948,200,492,.407,20,69,.290,180,423,.426,.427,34,60,.567,32,202,234,119,39,19,41,63,454
2014-15,34,MEM,NBA,SF,12,6,283,38,86,.442,11,21,.524,27,65,.415,.506,12,15,.800,8,30,38,11,4,1,5,10,99
Career,,,NBA,,894,848,29000,4342,9537,.455,545,1481,.368,3797,8056,.471,.484,1487,1964,.757,1049,2964,4013,2251,510,472,1007,1144,10716
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 seasons,,DET,NBA,,769,730,25595,3960,8623,.459,499,1350,.370,3461,7273,.476,.488,1419,1852,.766,980,2606,3586,2036,440,440,926,1030,9838
3 seasons,,MEM,NBA,,125,118,3405,382,914,.418,46,131,.351,336,783,.429,.443,68,112,.607,69,358,427,215,70,32,81,114,878
