
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,MIA,NBA,PF,75,24,1795,205,447,.459,0,3,.000,205,444,.462,.459,140,183,.765,189,284,473,51,33,24,74,197,550
2004-05,24,MIA,NBA,PF,80,80,2675,346,641,.540,0,4,.000,346,637,.543,.540,178,225,.791,239,487,726,108,63,41,113,260,870
2005-06,25,MIA,NBA,PF,81,80,2491,300,591,.508,0,2,.000,300,589,.509,.508,157,199,.789,167,467,634,95,50,17,80,216,757
2006-07,26,MIA,NBA,PF,79,79,2483,353,717,.492,0,4,.000,353,713,.495,.492,138,203,.680,188,466,654,97,49,26,110,236,844
2007-08,27,MIA,NBA,PF,49,48,1805,237,507,.467,0,0,,237,507,.467,.467,115,142,.810,107,336,443,68,39,18,67,145,589
2008-09,28,MIA,NBA,PF,75,75,2560,333,643,.518,0,0,,333,643,.518,.518,128,170,.753,169,449,618,85,43,25,82,204,794
2009-10,29,MIA,NBA,PF,78,0,2177,312,632,.494,0,0,,312,632,.494,.494,147,193,.762,167,462,629,52,30,23,75,174,771
2010-11,30,MIA,NBA,PF,13,0,345,44,86,.512,0,0,,44,86,.512,.512,16,20,.800,29,77,106,6,7,3,14,39,104
2011-12,31,MIA,NBA,PF,64,10,1589,151,357,.423,0,0,,151,357,.423,.423,83,102,.814,117,353,470,42,35,24,60,142,385
2012-13,32,MIA,NBA,PF,75,59,1414,129,251,.514,0,0,,129,251,.514,.514,32,45,.711,97,307,404,38,30,15,45,173,290
2013-14,33,MIA,NBA,PF,46,18,653,74,146,.507,0,0,,74,146,.507,.507,25,44,.568,42,133,175,13,11,15,24,79,173
2014-15,34,MIA,NBA,PF,14,0,192,19,51,.373,0,0,,19,51,.373,.373,8,10,.800,17,42,59,4,3,2,7,25,46
Career,,,NBA,,729,473,20179,2503,5069,.494,0,13,.000,2503,5056,.495,.494,1167,1536,.760,1528,3863,5391,659,393,233,751,1890,6173
