
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,19,ORL,NBA,C,59,2,664,68,175,.389,0,0,,68,175,.389,.389,58,90,.644,69,105,174,13,21,12,34,87,194
2004-05,20,MIL,NBA,C,74,4,1397,160,354,.452,0,1,.000,160,353,.453,.452,138,185,.746,131,247,378,60,44,34,70,166,458
2005-06,21,ATL,NBA,C,78,78,2452,307,681,.451,0,2,.000,307,679,.452,.451,297,404,.735,264,349,613,129,89,39,180,286,911
2006-07,22,ATL,NBA,C,72,47,2026,291,614,.474,0,1,.000,291,613,.475,.474,293,373,.786,199,301,500,106,77,36,162,267,875
2007-08,23,ATL,NBA,C,62,5,944,107,245,.437,0,3,.000,107,242,.442,.437,108,153,.706,89,159,248,36,24,13,69,140,322
2008-09,24,ATL,NBA,C,77,26,1473,159,320,.497,0,3,.000,159,317,.502,.497,163,230,.709,173,263,436,57,35,26,91,208,481
2009-10,25,ATL,NBA,C,78,1,1089,120,246,.488,0,4,.000,120,242,.496,.488,93,143,.650,117,176,293,42,37,31,58,186,333
2010-11,26,ATL,NBA,C,79,7,1244,107,232,.461,0,0,,107,232,.461,.461,135,179,.754,119,214,333,58,34,22,69,184,349
2011-12,27,ATL,NBA,C,58,44,1640,169,339,.499,0,0,,169,339,.499,.499,117,158,.741,154,303,457,79,55,29,81,172,455
2012-13,28,ATL,NBA,C,52,15,1134,114,241,.473,0,3,.000,114,238,.479,.473,78,103,.757,132,204,336,79,35,12,70,128,306
2013-14,29,MIL,NBA,C,53,43,1325,149,349,.427,0,1,.000,149,348,.428,.427,110,130,.846,141,192,333,136,45,14,92,124,408
2014-15,30,MIL,NBA,C,20,2,422,55,115,.478,0,2,.000,55,113,.487,.478,20,23,.870,37,66,103,36,20,8,37,55,130
Career,,,NBA,,762,274,15810,1806,3911,.462,0,20,.000,1806,3891,.464,.462,1610,2171,.742,1625,2579,4204,831,516,276,1013,2003,5222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,ATL,NBA,,556,223,12002,1374,2918,.471,0,16,.000,1374,2902,.473,.471,1284,1743,.737,1247,1969,3216,586,386,208,780,1571,4032
3 seasons,,MIL,NBA,,147,49,3144,364,818,.445,0,4,.000,364,814,.447,.445,268,338,.793,309,505,814,232,109,56,199,345,996
1 season,,ORL,NBA,,59,2,664,68,175,.389,0,0,,68,175,.389,.389,58,90,.644,69,105,174,13,21,12,34,87,194
