Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,GSW,NBA,PF,23,0,196,23,54,0.426,0,0,,23,54,0.426,0.426,11,19,0.579,23,35,58,10,4,5,9,28,57
2011-12,25,HOU,NBA,PF,8,0,63,7,16,0.438,0,0,,7,16,0.438,0.438,7,12,0.583,5,17,22,1,0,2,2,13,21
2012-13,26,CHA,NBA,PF,52,5,713,72,168,0.429,0,2,0,72,166,0.434,0.429,65,100,0.65,68,128,196,36,18,27,32,80,209
2013-14,27,TOT,NBA,PF,53,12,961,143,275,0.52,0,0,,143,275,0.52,0.52,76,119,0.639,102,204,306,38,24,36,39,108,362
2013-14,27,CHA,NBA,PF,25,0,256,22,40,0.55,0,0,,22,40,0.55,0.55,13,25,0.52,33,55,88,7,7,15,8,35,57
2013-14,27,MIL,NBA,PF,28,12,705,121,235,0.515,0,0,,121,235,0.515,0.515,63,94,0.67,69,149,218,31,17,21,31,73,305
2014-15,28,MIN,NBA,,5,0,68,6,14,0.429,0,0,,6,14,0.429,0.429,6,10,0.6,8,16,24,6,2,6,3,7,18
Career,,,NBA,,141,17,2001,251,527,0.476,0,2,0,251,525,0.478,0.476,165,260,0.635,206,400,606,91,48,76,85,236,667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHA,NBA,,77,5,969,94,208,0.452,0,2,0,94,206,0.456,0.452,78,125,0.624,101,183,284,43,25,42,40,115,266
1 season,,MIL,NBA,,28,12,705,121,235,0.515,0,0,,121,235,0.515,0.515,63,94,0.67,69,149,218,31,17,21,31,73,305
1 season,,GSW,NBA,,23,0,196,23,54,0.426,0,0,,23,54,0.426,0.426,11,19,0.579,23,35,58,10,4,5,9,28,57
1 season,,HOU,NBA,,8,0,63,7,16,0.438,0,0,,7,16,0.438,0.438,7,12,0.583,5,17,22,1,0,2,2,13,21
1 season,,MIN,NBA,,5,0,68,6,14,0.429,0,0,,6,14,0.429,0.429,6,10,0.6,8,16,24,6,2,6,3,7,18
