Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,21,MIN,NBA,SF,79,35,1803,182,486,0.374,7,36,0.194,175,450,0.389,0.382,88,110,0.8,82,210,292,111,76,25,89,188,459
2008-09,22,MIN,NBA,SF,15,8,307,37,90,0.411,5,12,0.417,32,78,0.41,0.439,14,19,0.737,18,31,49,25,15,3,13,37,93
2009-10,23,MIN,NBA,SG,82,82,2482,409,949,0.431,82,237,0.346,327,712,0.459,0.474,166,256,0.648,70,209,279,193,117,29,164,224,1066
2010-11,24,TOT,NBA,SF-SG,69,24,1510,193,488,0.395,30,112,0.268,163,376,0.434,0.426,136,192,0.708,57,118,175,89,100,16,87,159,552
2010-11,24,MIN,NBA,SF,56,22,1362,168,437,0.384,26,99,0.263,142,338,0.42,0.414,121,171,0.708,45,107,152,77,89,14,77,134,483
2010-11,24,DAL,NBA,SG,13,2,148,25,51,0.49,4,13,0.308,21,38,0.553,0.529,15,21,0.714,12,11,23,12,11,2,10,25,69
2011-12,25,DEN,NBA,SF,59,17,1287,201,463,0.434,33,127,0.26,168,336,0.5,0.47,90,130,0.692,43,107,150,88,72,17,56,113,525
2012-13,26,DEN,NBA,SF,82,2,2003,375,883,0.425,91,307,0.296,284,576,0.493,0.476,149,216,0.69,55,180,235,124,118,23,102,154,990
2013-14,27,MIN,NBA,SF,81,81,2609,388,807,0.481,59,211,0.28,329,596,0.552,0.517,163,227,0.718,63,144,207,135,151,30,105,210,998
2014-15,28,MIN,NBA,SF,21,13,581,85,201,0.423,6,35,0.171,79,166,0.476,0.438,55,78,0.705,32,47,79,60,47,3,40,55,231
Career,,,NBA,,488,262,12582,1870,4367,0.428,313,1077,0.291,1557,3290,0.473,0.464,861,1228,0.701,420,1046,1466,825,696,146,656,1140,4914
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIN,NBA,,334,241,9144,1269,2970,0.427,185,630,0.294,1084,2340,0.463,0.458,607,861,0.705,310,748,1058,601,495,104,488,848,3330
2 seasons,,DEN,NBA,,141,19,3290,576,1346,0.428,124,434,0.286,452,912,0.496,0.474,239,346,0.691,98,287,385,212,190,40,158,267,1515
1 season,,DAL,NBA,,13,2,148,25,51,0.49,4,13,0.308,21,38,0.553,0.529,15,21,0.714,12,11,23,12,11,2,10,25,69
