Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,SAC,NBA,PG,45,0,455,45,117,0.385,5,25,0.2,40,92,0.435,0.406,36,55,0.655,29,29,58,22,16,3,24,35,131
2005-06,22,SAC,NBA,SG,72,41,1913,262,546,0.48,66,179,0.369,196,367,0.534,0.54,188,222,0.847,58,203,261,97,55,9,81,138,778
2006-07,23,SAC,NBA,SG,80,80,2818,505,1067,0.473,127,333,0.381,378,734,0.515,0.533,481,570,0.844,69,273,342,173,98,11,135,181,1618
2007-08,24,SAC,NBA,SG,61,57,2216,417,914,0.456,107,266,0.402,310,648,0.478,0.515,502,578,0.869,48,225,273,129,62,5,131,150,1443
2008-09,25,SAC,NBA,SG,51,46,1947,341,811,0.42,115,277,0.415,226,534,0.423,0.491,457,527,0.867,29,154,183,138,61,8,146,116,1254
2009-10,26,TOT,NBA,SG,46,43,1633,289,693,0.417,70,210,0.333,219,483,0.453,0.468,298,340,0.876,29,135,164,111,46,6,92,96,946
2009-10,26,SAC,NBA,SG,22,21,774,135,339,0.398,39,110,0.355,96,229,0.419,0.456,127,155,0.819,20,74,94,57,23,4,35,51,436
2009-10,26,HOU,NBA,SG,24,22,859,154,354,0.435,31,100,0.31,123,254,0.484,0.479,171,185,0.924,9,61,70,54,23,2,57,45,510
2010-11,27,HOU,NBA,SG,80,80,2603,553,1267,0.436,176,459,0.383,377,808,0.467,0.506,594,669,0.888,28,230,258,198,80,15,184,155,1876
2011-12,28,HOU,NBA,SG,40,40,1264,222,537,0.413,78,225,0.347,144,312,0.462,0.486,160,179,0.894,13,93,106,110,28,3,70,70,682
2012-13,29,OKC,NBA,SG,77,0,2136,350,778,0.45,158,371,0.426,192,407,0.472,0.551,219,246,0.89,31,147,178,106,72,8,101,138,1077
2013-14,30,MIN,NBA,SG,68,68,2177,440,1023,0.43,115,297,0.387,325,726,0.448,0.486,303,340,0.891,34,169,203,121,66,6,106,123,1298
2014-15,31,MIN,NBA,SG,9,8,268,58,120,0.483,26,54,0.481,32,66,0.485,0.592,42,48,0.875,4,29,33,17,6,0,17,24,184
Career,,,NBA,,629,463,19430,3482,7873,0.442,1043,2696,0.387,2439,5177,0.471,0.509,3280,3774,0.869,372,1687,2059,1222,590,74,1087,1226,11287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,SAC,NBA,,331,245,10123,1705,3794,0.449,459,1190,0.386,1246,2604,0.478,0.51,1791,2107,0.85,253,958,1211,616,315,40,552,671,5660
3 seasons,,HOU,NBA,,144,142,4726,929,2158,0.43,285,784,0.364,644,1374,0.469,0.497,925,1033,0.895,50,384,434,362,131,20,311,270,3068
2 seasons,,MIN,NBA,,77,76,2445,498,1143,0.436,141,351,0.402,357,792,0.451,0.497,345,388,0.889,38,198,236,138,72,6,123,147,1482
1 season,,OKC,NBA,,77,0,2136,350,778,0.45,158,371,0.426,192,407,0.472,0.551,219,246,0.89,31,147,178,106,72,8,101,138,1077
