
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,24,CHI,NBA,C,82,0,989,78,141,.553,0,0,,78,141,.553,.553,73,145,.503,112,194,306,32,20,56,64,153,229
2011-12,25,CHI,NBA,C,66,2,971,79,156,.506,0,0,,79,156,.506,.506,47,103,.456,127,223,350,32,30,68,68,121,205
2012-13,26,HOU,NBA,C,82,82,2464,332,614,.541,0,1,.000,332,613,.542,.541,168,299,.562,275,681,956,75,46,87,173,223,832
2013-14,27,HOU,NBA,C,48,19,968,101,190,.532,0,0,,101,190,.532,.532,78,126,.619,101,277,378,25,14,37,59,92,280
2014-15,28,NOP,NBA,C,17,17,468,54,102,.529,0,0,,54,102,.529,.529,32,57,.561,70,116,186,18,7,15,21,34,140
Career,,,NBA,,295,120,5860,644,1203,.535,0,1,.000,644,1202,.536,.535,398,730,.545,685,1491,2176,182,117,263,385,623,1686
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,CHI,NBA,,148,2,1960,157,297,.529,0,0,,157,297,.529,.529,120,248,.484,239,417,656,64,50,124,132,274,434
2 seasons,,HOU,NBA,,130,101,3432,433,804,.539,0,1,.000,433,803,.539,.539,246,425,.579,376,958,1334,100,60,124,232,315,1112
1 season,,NOP,NBA,,17,17,468,54,102,.529,0,0,,54,102,.529,.529,32,57,.561,70,116,186,18,7,15,21,34,140
