
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,POR,NBA,PF,63,2,707,106,214,.495,0,2,.000,106,212,.500,.495,31,48,.646,54,106,160,14,24,22,15,97,243
2010-11,23,TOT,NBA,PF-SF,78,18,1637,218,472,.462,1,13,.077,217,459,.473,.463,45,62,.726,96,181,277,43,54,43,51,177,482
2010-11,23,POR,NBA,PF,56,9,1108,126,291,.433,0,4,.000,126,287,.439,.433,32,45,.711,73,116,189,30,39,32,33,139,284
2010-11,23,CHA,NBA,SF,22,9,529,92,181,.508,1,9,.111,91,172,.529,.511,13,17,.765,23,65,88,13,15,11,18,38,198
2011-12,24,MEM,NBA,PF,64,5,1124,144,279,.516,0,2,.000,144,277,.520,.516,45,69,.652,91,155,246,37,42,34,29,98,333
2012-13,25,MIN,NBA,SF,80,9,2010,314,671,.468,0,6,.000,314,665,.472,.468,67,103,.650,142,266,408,67,84,38,56,153,695
2013-14,26,MIN,NBA,SF,81,7,1635,236,509,.464,0,5,.000,236,504,.468,.464,38,67,.567,112,218,330,83,62,58,42,146,510
2014-15,27,NOP,NBA,,5,0,116,9,22,.409,0,0,,9,22,.409,.409,4,6,.667,6,15,21,2,1,1,4,8,22
Career,,,NBA,,371,41,7229,1027,2167,.474,1,28,.036,1026,2139,.480,.474,230,355,.648,501,941,1442,246,267,196,197,679,2285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,MIN,NBA,,161,16,3645,550,1180,.466,0,11,.000,550,1169,.470,.466,105,170,.618,254,484,738,150,146,96,98,299,1205
2 seasons,,POR,NBA,,119,11,1815,232,505,.459,0,6,.000,232,499,.465,.459,63,93,.677,127,222,349,44,63,54,48,236,527
1 season,,MEM,NBA,,64,5,1124,144,279,.516,0,2,.000,144,277,.520,.516,45,69,.652,91,155,246,37,42,34,29,98,333
1 season,,CHA,NBA,,22,9,529,92,181,.508,1,9,.111,91,172,.529,.511,13,17,.765,23,65,88,13,15,11,18,38,198
1 season,,NOP,NBA,,5,0,116,9,22,.409,0,0,,9,22,.409,.409,4,6,.667,6,15,21,2,1,1,4,8,22
