Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,23,GSW,NBA,SG,67,17,1515,255,534,0.478,86,184,0.467,169,350,0.483,0.558,80,92,0.87,78,121,199,80,36,12,52,130,676
2009-10,24,GSW,NBA,SG,69,37,2018,329,703,0.468,140,307,0.456,189,396,0.477,0.568,101,114,0.886,61,198,259,104,65,16,84,158,899
2010-11,25,NJN,NBA,SG,58,47,1856,279,620,0.45,110,260,0.423,169,360,0.469,0.539,96,107,0.897,37,135,172,68,19,7,54,135,764
2011-12,26,NJN,NBA,SG,62,18,1636,272,658,0.413,106,286,0.371,166,372,0.446,0.494,97,104,0.933,31,96,127,61,46,9,70,86,747
2012-13,27,TOT,NBA,SG,41,1,383,64,145,0.441,16,43,0.372,48,102,0.471,0.497,20,22,0.909,11,19,30,13,13,1,8,43,164
2012-13,27,ATL,NBA,SG,24,1,301,47,111,0.423,15,38,0.395,32,73,0.438,0.491,16,18,0.889,10,16,26,9,12,1,4,33,125
2012-13,27,DAL,NBA,SG,17,0,82,17,34,0.5,1,5,0.2,16,29,0.552,0.515,4,4,1,1,3,4,4,1,0,4,10,39
2013-14,28,NOP,NBA,SG,76,9,1426,238,520,0.458,88,195,0.451,150,325,0.462,0.542,72,87,0.828,29,111,140,59,38,12,51,102,636
2014-15,29,OKC,NBA,SG,14,0,376,54,129,0.419,24,62,0.387,30,67,0.448,0.512,14,19,0.737,4,33,37,15,14,1,8,40,146
Career,,,NBA,,387,129,9210,1491,3309,0.451,570,1337,0.426,921,1972,0.467,0.537,480,545,0.881,251,713,964,400,231,58,327,694,4032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,136,54,3533,584,1237,0.472,226,491,0.46,358,746,0.48,0.563,181,206,0.879,139,319,458,184,101,28,136,288,1575
2 seasons,,NJN,NBA,,120,65,3492,551,1278,0.431,216,546,0.396,335,732,0.458,0.516,193,211,0.915,68,231,299,129,65,16,124,221,1511
1 season,,NOP,NBA,,76,9,1426,238,520,0.458,88,195,0.451,150,325,0.462,0.542,72,87,0.828,29,111,140,59,38,12,51,102,636
1 season,,ATL,NBA,,24,1,301,47,111,0.423,15,38,0.395,32,73,0.438,0.491,16,18,0.889,10,16,26,9,12,1,4,33,125
1 season,,DAL,NBA,,17,0,82,17,34,0.5,1,5,0.2,16,29,0.552,0.515,4,4,1,1,3,4,4,1,0,4,10,39
1 season,,OKC,NBA,,14,0,376,54,129,0.419,24,62,0.387,30,67,0.448,0.512,14,19,0.737,4,33,37,15,14,1,8,40,146
