
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,24,TOT,NBA,C,31,6,390,38,83,.458,0,0,,38,83,.458,.458,21,32,.656,38,89,127,5,7,22,18,66,97
2013-14,24,GSW,NBA,C,4,0,6,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,0,0,0,0,0,0,1,1
2013-14,24,PHI,NBA,C,11,0,150,15,29,.517,0,0,,15,29,.517,.517,7,13,.538,11,38,49,3,0,9,9,28,37
2013-14,24,ORL,NBA,C,16,6,234,23,53,.434,0,0,,23,53,.434,.434,13,17,.765,27,51,78,2,7,13,9,37,59
2014-15,25,ORL,NBA,C,16,0,186,24,43,.558,0,0,,24,43,.558,.558,8,14,.571,30,42,72,4,3,14,10,27,56
Career,,,NBA,,47,6,576,62,126,.492,0,0,,62,126,.492,.492,29,46,.630,68,131,199,9,10,36,28,93,153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,ORL,NBA,,32,6,420,47,96,.490,0,0,,47,96,.490,.490,21,31,.677,57,93,150,6,10,27,19,64,115
1 season,,PHI,NBA,,11,0,150,15,29,.517,0,0,,15,29,.517,.517,7,13,.538,11,38,49,3,0,9,9,28,37
1 season,,GSW,NBA,,4,0,6,0,1,.000,0,0,,0,1,.000,.000,1,2,.500,0,0,0,0,0,0,0,1,1
