
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22,NOH,NBA,C,2,0,5,2,3,.667,0,0,,2,3,.667,.667,0,0,,2,0,2,0,0,0,1,1,4
2013-14,23,TOT,NBA,C,46,25,875,130,274,.474,0,1,.000,130,273,.476,.474,90,121,.744,104,133,237,52,28,20,41,116,350
2013-14,23,CLE,NBA,C,20,0,168,18,45,.400,0,0,,18,45,.400,.400,8,14,.571,22,34,56,5,5,7,8,32,44
2013-14,23,PHI,NBA,C,26,25,707,112,229,.489,0,1,.000,112,228,.491,.489,82,107,.766,82,99,181,47,23,13,33,84,306
2014-15,24,PHI,NBA,C,20,18,500,81,166,.488,4,11,.364,77,155,.497,.500,33,45,.733,35,77,112,22,16,6,26,42,199
Career,,,NBA,,68,43,1380,213,443,.481,4,12,.333,209,431,.485,.485,123,166,.741,141,210,351,74,44,26,68,159,553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,PHI,NBA,,46,43,1207,193,395,.489,4,12,.333,189,383,.493,.494,115,152,.757,117,176,293,69,39,19,59,126,505
1 season,,CLE,NBA,,20,0,168,18,45,.400,0,0,,18,45,.400,.400,8,14,.571,22,34,56,5,5,7,8,32,44
1 season,,NOH,NBA,,2,0,5,2,3,.667,0,0,,2,3,.667,.667,0,0,,2,0,2,0,0,0,1,1,4
