
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,22,PHO,NBA,PG,55,1,728,88,224,.393,20,54,.370,68,170,.400,.438,50,65,.769,33,70,103,111,29,3,73,87,246
2009-10,23,PHO,NBA,PG,80,2,1442,222,491,.452,74,188,.394,148,303,.488,.527,117,159,.736,38,133,171,241,48,8,126,131,635
2010-11,24,TOT,NBA,PG,70,5,1234,192,441,.435,56,155,.361,136,286,.476,.499,83,133,.624,36,106,142,204,50,10,117,125,523
2010-11,24,PHO,NBA,PG,48,2,856,133,316,.421,28,101,.277,105,215,.488,.465,59,97,.608,24,62,86,149,36,6,96,90,353
2010-11,24,HOU,NBA,PG,22,3,378,59,125,.472,28,54,.519,31,71,.437,.584,24,36,.667,12,44,56,55,14,4,21,35,170
2011-12,25,HOU,NBA,PG,66,28,1752,277,600,.462,68,202,.337,209,398,.525,.518,153,190,.805,53,115,168,351,85,10,157,166,775
2012-13,26,PHO,NBA,PG,77,77,2581,401,906,.443,88,276,.319,313,630,.497,.491,244,326,.748,60,178,238,569,124,26,212,214,1134
2013-14,27,PHO,NBA,SG,76,75,2668,552,1093,.505,122,299,.408,430,794,.542,.561,316,416,.760,69,176,245,447,104,22,213,206,1542
2014-15,28,PHO,NBA,SG,23,23,742,143,292,.490,31,85,.365,112,207,.541,.543,51,60,.850,18,58,76,92,23,3,49,44,368
Career,,,NBA,,447,211,11147,1875,4047,.463,459,1259,.365,1416,2788,.508,.520,1014,1349,.752,307,836,1143,2015,463,82,947,973,5223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,PHO,NBA,,359,180,9017,1539,3322,.463,363,1003,.362,1176,2319,.507,.518,837,1123,.745,242,677,919,1609,364,68,769,772,4278
2 seasons,,HOU,NBA,,88,31,2130,336,725,.463,96,256,.375,240,469,.512,.530,177,226,.783,65,159,224,406,99,14,178,201,945
