
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,TOR,NBA,SF,17,0,83,11,22,.500,0,0,,11,22,.500,.500,8,14,.571,11,12,23,3,2,0,6,12,30
2007-08,22,Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel),Did Not Play (other pro league—Israel)
2008-09,23,Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine),Did Not Play (other pro league—Ukraine)
2009-10,24,Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel),Did Not Play (other pro league—Ukraine Israel)
2010-11,25,Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy),Did Not Play (other pro league—Greece Italy)
2011-12,26,Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany),Did Not Play (other pro league—Germany)
2012-13,27,PHO,NBA,SG,79,45,1910,210,444,.473,22,70,.314,188,374,.503,.498,64,86,.744,132,218,350,109,62,19,67,145,506
2013-14,28,PHO,NBA,SF,81,81,2490,265,615,.431,74,191,.387,191,424,.450,.491,156,201,.776,161,368,529,141,110,23,102,204,760
2014-15,29,PHO,NBA,SF,19,5,507,55,118,.466,23,55,.418,32,63,.508,.564,13,18,.722,20,91,111,25,17,4,21,45,146
Career,,,NBA,,196,131,4990,541,1199,.451,119,316,.377,422,883,.478,.501,241,319,.755,324,689,1013,278,191,46,196,406,1442
