Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,UTA,NBA,SG,82,48,2025,273,565,0.483,63,165,0.382,210,400,0.525,0.539,160,193,0.829,50,141,191,124,64,15,93,152,769
2010-11,24,POR,NBA,SG,82,69,2758,440,979,0.449,154,378,0.407,286,601,0.476,0.528,266,315,0.844,48,210,258,164,102,9,138,195,1300
2011-12,25,POR,NBA,SG,66,53,2228,314,763,0.412,129,337,0.383,185,426,0.434,0.496,147,171,0.86,56,168,224,113,96,15,73,148,904
2012-13,26,POR,NBA,SG,69,69,2403,352,808,0.436,169,425,0.398,183,383,0.478,0.54,149,187,0.797,35,156,191,174,90,18,109,172,1022
2013-14,27,POR,NBA,SG,82,82,2780,445,1009,0.441,201,511,0.393,244,498,0.49,0.541,252,301,0.837,51,238,289,197,76,14,110,176,1343
2014-15,28,POR,NBA,SG,22,22,735,138,282,0.489,63,164,0.384,75,118,0.636,0.601,37,54,0.685,17,64,81,54,20,3,36,55,376
Career,,,NBA,,403,343,12929,1962,4406,0.445,779,1980,0.393,1183,2426,0.488,0.534,1011,1221,0.828,257,977,1234,826,448,74,559,898,5714
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,POR,NBA,,321,295,10904,1689,3841,0.44,716,1815,0.394,973,2026,0.48,0.533,851,1028,0.828,207,836,1043,702,384,59,466,746,4945
1 season,,UTA,NBA,,82,48,2025,273,565,0.483,63,165,0.382,210,400,0.525,0.539,160,193,0.829,50,141,191,124,64,15,93,152,769
