Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,19,MIA,NBA,SF,3,0,27,3,11,0.273,0,4,0,3,7,0.429,0.273,1,1,1,0,1,1,3,4,0,3,2,7
2005-06,20,MIA,NBA,SF,20,2,132,20,43,0.465,3,6,0.5,17,37,0.459,0.5,15,17,0.882,2,30,32,8,3,1,14,12,58
2006-07,21,MIA,NBA,SF,66,19,1292,162,364,0.445,5,34,0.147,157,330,0.476,0.452,64,86,0.744,40,232,272,95,41,46,65,112,393
2007-08,22,MIA,NBA,SF,44,34,1104,143,293,0.488,4,11,0.364,139,282,0.493,0.495,57,69,0.826,48,172,220,60,29,41,29,79,347
2008-09,23,MIA,NBA,SF,6,0,73,8,20,0.4,0,0,,8,20,0.4,0.4,2,6,0.333,2,18,20,2,2,0,6,8,18
2009-10,24,MIA,NBA,SF,72,1,1496,194,419,0.463,61,157,0.389,133,262,0.508,0.536,61,69,0.884,50,185,235,91,52,32,53,94,510
2010-11,25,GSW,NBA,SF,82,82,3147,485,1146,0.423,194,516,0.376,291,630,0.462,0.508,180,228,0.789,88,343,431,242,124,63,133,171,1344
2011-12,26,GSW,NBA,SF,61,61,1650,222,526,0.422,105,292,0.36,117,234,0.5,0.522,80,98,0.816,60,218,278,94,58,26,51,97,629
2012-13,27,PHI,NBA,SF,79,8,1783,237,599,0.396,135,361,0.374,102,238,0.429,0.508,120,141,0.851,42,260,302,150,62,35,64,98,729
2013-14,28,POR,NBA,SF,68,13,984,111,297,0.374,69,202,0.342,42,95,0.442,0.49,52,69,0.754,29,162,191,64,23,16,39,62,343
2014-15,29,POR,NBA,SF,9,0,54,5,18,0.278,3,11,0.273,2,7,0.286,0.361,3,3,1,1,12,13,4,2,2,1,7,16
Career,,,NBA,,510,220,11742,1590,3736,0.426,579,1594,0.363,1011,2142,0.472,0.503,635,787,0.807,362,1633,1995,813,400,262,458,742,4394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIA,NBA,,211,56,4124,530,1150,0.461,73,212,0.344,457,938,0.487,0.493,200,248,0.806,142,638,780,259,131,120,170,307,1333
2 seasons,,GSW,NBA,,143,143,4797,707,1672,0.423,299,808,0.37,408,864,0.472,0.512,260,326,0.798,148,561,709,336,182,89,184,268,1973
1 season,,PHI,NBA,,79,8,1783,237,599,0.396,135,361,0.374,102,238,0.429,0.508,120,141,0.851,42,260,302,150,62,35,64,98,729
2 seasons,,POR,NBA,,77,13,1038,116,315,0.368,72,213,0.338,44,102,0.431,0.483,55,72,0.764,30,174,204,68,25,18,40,69,359
