
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,SAC,NBA,SF,77,31,1931,300,672,.446,75,203,.369,225,469,.480,.502,117,174,.672,75,274,349,95,54,17,98,125,792
2010-11,22,SAC,NBA,SF,71,27,1702,225,546,.412,92,247,.372,133,299,.445,.496,68,101,.673,74,233,307,74,54,13,68,115,610
2011-12,23,CLE,NBA,SF,65,35,1341,166,412,.403,53,168,.315,113,244,.463,.467,74,108,.685,63,165,228,66,37,21,64,115,459
2012-13,24,CLE,NBA,SF,43,1,503,63,160,.394,25,76,.329,38,84,.452,.472,22,41,.537,20,94,114,28,25,12,22,45,173
2013-14,25,HOU,NBA,PF,71,2,1283,173,410,.422,61,176,.347,112,234,.479,.496,83,122,.680,55,205,260,88,44,14,72,100,490
2014-15,26,SAC,NBA,SF,20,2,372,55,102,.539,2,14,.143,53,88,.602,.549,52,61,.852,14,53,67,28,6,3,23,33,164
Career,,,NBA,,347,98,7132,982,2302,.427,308,884,.348,674,1418,.475,.493,416,607,.685,301,1024,1325,379,220,80,347,533,2688
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,SAC,NBA,,168,60,4005,580,1320,.439,169,464,.364,411,856,.480,.503,237,336,.705,163,560,723,197,114,33,189,273,1566
2 seasons,,CLE,NBA,,108,36,1844,229,572,.400,78,244,.320,151,328,.460,.469,96,149,.644,83,259,342,94,62,33,86,160,632
1 season,,HOU,NBA,,71,2,1283,173,410,.422,61,176,.347,112,234,.479,.496,83,122,.680,55,205,260,88,44,14,72,100,490
