
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,20,MEM,NBA,SF,78,43,2103,321,760,.422,52,143,.364,269,617,.436,.457,152,209,.727,93,255,348,100,71,74,140,192,846
2007-08,21,MEM,NBA,SF,81,81,3000,625,1355,.461,134,387,.346,491,968,.507,.511,248,316,.785,140,359,499,158,111,79,190,230,1632
2008-09,22,MEM,NBA,SF,79,78,2945,572,1262,.453,85,242,.351,487,1020,.477,.487,264,344,.767,109,328,437,135,98,59,203,221,1493
2009-10,23,MEM,NBA,SF,80,80,3175,600,1288,.466,66,202,.327,534,1086,.492,.491,301,400,.753,115,357,472,153,118,64,169,201,1567
2010-11,24,MEM,NBA,SF,54,54,2152,409,869,.471,57,144,.396,352,725,.486,.503,194,241,.805,82,254,336,153,91,58,135,131,1069
2011-12,25,MEM,NBA,SF,65,65,2422,485,1067,.455,54,173,.312,431,894,.482,.480,208,263,.791,130,287,417,147,95,55,161,138,1232
2012-13,26,TOT,NBA,SF,75,74,2687,521,1253,.416,84,260,.323,437,993,.440,.449,240,295,.814,99,362,461,202,113,53,198,182,1366
2012-13,26,MEM,NBA,SF,42,42,1541,281,688,.408,40,129,.310,241,559,.431,.438,121,156,.776,56,193,249,108,56,31,104,87,723
2012-13,26,TOR,NBA,SF,33,32,1146,240,565,.425,44,131,.336,196,434,.452,.464,119,139,.856,43,169,212,94,57,22,94,95,643
2013-14,27,TOT,NBA,SF,73,73,2531,537,1179,.455,65,197,.330,472,982,.481,.483,318,387,.822,113,324,437,209,95,56,224,171,1457
2013-14,27,TOR,NBA,SF,18,18,639,130,335,.388,22,59,.373,108,276,.391,.421,68,88,.773,29,104,133,40,28,23,59,47,350
2013-14,27,SAC,NBA,SF,55,55,1892,407,844,.482,43,138,.312,364,706,.516,.508,250,299,.836,84,220,304,169,67,33,165,124,1107
2014-15,28,SAC,NBA,SF,20,20,722,150,324,.463,18,52,.346,132,272,.485,.491,114,131,.870,27,97,124,87,21,10,57,47,432
Career,,,NBA,,605,568,21737,4220,9357,.451,615,1800,.342,3605,7557,.477,.484,2039,2586,.788,908,2623,3531,1344,813,508,1477,1513,11094
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MEM,NBA,,479,443,17338,3293,7289,.452,488,1420,.344,2805,5869,.478,.485,1488,1929,.771,725,2033,2758,954,640,420,1102,1200,8562
2 seasons,,SAC,NBA,,75,75,2614,557,1168,.477,61,190,.321,496,978,.507,.503,364,430,.847,111,317,428,256,88,43,222,171,1539
2 seasons,,TOR,NBA,,51,50,1785,370,900,.411,66,190,.347,304,710,.428,.448,187,227,.824,72,273,345,134,85,45,153,142,993
