
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,20,MIN,NBA,PF,66,15,1418,205,498,.412,37,138,.268,168,360,.467,.449,136,195,.697,77,234,311,38,30,31,77,95,583
2012-13,21,MIN,NBA,PF,78,56,1916,338,786,.430,65,196,.332,273,590,.463,.471,192,272,.706,96,334,430,46,44,37,101,127,933
2013-14,22,TOT,NBA,SF-PF,78,15,1820,206,482,.427,26,99,.263,180,383,.470,.454,186,259,.718,71,252,323,56,48,20,76,114,624
2013-14,22,MIN,NBA,PF,11,0,162,19,54,.352,2,15,.133,17,39,.436,.370,14,16,.875,3,23,26,1,4,4,6,9,54
2013-14,22,SAC,NBA,SF,67,15,1658,187,428,.437,24,84,.286,163,344,.474,.465,172,243,.708,68,229,297,55,44,16,70,105,570
2014-15,23,SAC,NBA,PF,17,0,202,35,71,.493,6,16,.375,29,55,.527,.535,18,33,.545,8,21,29,4,3,1,13,16,94
Career,,,NBA,,239,86,5356,784,1837,.427,134,449,.298,650,1388,.468,.463,532,759,.701,252,841,1093,144,125,89,267,352,2234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,MIN,NBA,,155,71,3496,562,1338,.420,104,349,.298,458,989,.463,.459,342,483,.708,176,591,767,85,78,72,184,231,1570
2 seasons,,SAC,NBA,,84,15,1860,222,499,.445,30,100,.300,192,399,.481,.475,190,276,.688,76,250,326,59,47,17,83,121,664
