
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,24,IND,NBA,PF,29,1,511,81,225,.360,0,4,.000,81,221,.367,.360,84,113,.743,60,78,138,28,17,8,21,70,246
2010-11,25,IND,NBA,PF,70,29,1535,285,613,.465,0,2,.000,285,611,.466,.465,197,253,.779,145,221,366,41,37,15,76,160,767
2011-12,26,IND,NBA,PF,66,0,1442,194,479,.405,0,1,.000,194,478,.406,.405,226,278,.813,113,177,290,30,54,9,65,159,614
2012-13,27,IND,NBA,PF,81,8,1366,176,407,.432,0,3,.000,176,404,.436,.432,216,300,.720,161,212,373,36,29,18,78,152,568
2013-14,28,TOR,NBA,PF,64,4,978,93,196,.474,0,2,.000,93,194,.479,.474,126,185,.681,120,167,287,17,28,19,47,132,312
2014-15,29,TOR,NBA,PF,16,1,225,10,25,.400,0,2,.000,10,23,.435,.400,19,26,.731,21,30,51,5,7,2,4,33,39
Career,,,NBA,,326,43,6057,839,1945,.431,0,14,.000,839,1931,.434,.431,868,1155,.752,620,885,1505,157,172,71,291,706,2546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,IND,NBA,,246,38,4854,736,1724,.427,0,10,.000,736,1714,.429,.427,723,944,.766,479,688,1167,135,137,50,240,541,2195
2 seasons,,TOR,NBA,,80,5,1203,103,221,.466,0,4,.000,103,217,.475,.466,145,211,.687,141,197,338,22,35,21,51,165,351
