
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,18,DET,NBA,SF,3,0,39,7,10,.700,2,3,.667,5,7,.714,.800,4,4,1.000,3,1,4,3,0,2,4,7,20
2006-07,19,DET,NBA,PF,8,0,124,18,33,.545,0,3,.000,18,30,.600,.545,11,14,.786,15,22,37,3,5,13,9,19,47
2007-08,20,DET,NBA,PF,62,0,764,92,165,.558,0,0,,92,165,.558,.558,37,55,.673,87,148,235,29,24,82,39,141,221
2008-09,21,DET,NBA,PF,62,24,911,97,163,.595,0,0,,97,163,.595,.595,23,35,.657,102,130,232,20,20,60,33,171,217
2009-10,22,TOR,NBA,PF,82,5,1453,208,334,.623,0,4,.000,208,330,.630,.623,95,149,.638,154,241,395,48,44,66,63,255,511
2010-11,23,TOR,NBA,PF,72,54,1853,281,495,.568,0,1,.000,281,494,.569,.568,126,160,.788,189,272,461,81,53,88,69,263,688
2011-12,24,TOR,NBA,PF,64,43,1553,196,340,.576,2,5,.400,194,335,.579,.579,58,84,.690,149,259,408,79,33,69,94,209,452
2012-13,25,TOR,NBA,PF,81,38,2325,336,606,.554,5,13,.385,331,593,.558,.559,136,187,.727,227,384,611,122,81,110,117,301,813
2013-14,26,TOR,NBA,PF,77,72,2214,344,612,.562,20,66,.303,324,546,.593,.578,91,143,.636,172,333,505,115,56,88,123,271,799
2014-15,27,TOR,NBA,PF,18,18,477,80,134,.597,7,16,.438,73,118,.619,.623,18,28,.643,40,53,93,30,11,20,22,56,185
Career,,,NBA,,529,254,11713,1659,2892,.574,36,111,.324,1623,2781,.584,.580,599,859,.697,1138,1843,2981,530,327,598,573,1693,3953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,TOR,NBA,,394,230,9875,1445,2521,.573,34,105,.324,1411,2416,.584,.580,524,751,.698,931,1542,2473,475,278,441,488,1355,3448
4 seasons,,DET,NBA,,135,24,1838,214,371,.577,2,6,.333,212,365,.581,.580,75,108,.694,207,301,508,55,49,157,85,338,505
