
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,21,HOU,NBA,PF,52,6,868,149,267,.558,0,2,.000,149,265,.562,.558,30,42,.714,86,114,200,41,17,37,31,77,328
2011-12,22,HOU,NBA,PF,64,1,1483,225,511,.440,0,3,.000,225,508,.443,.440,40,57,.702,112,174,286,53,27,36,49,113,490
2012-13,23,TOT,NBA,PF,71,41,1775,319,623,.512,51,132,.386,268,491,.546,.553,48,63,.762,113,224,337,81,31,40,61,138,737
2012-13,23,HOU,NBA,PF,47,38,1219,236,455,.519,35,96,.365,201,359,.560,.557,37,49,.755,73,148,221,51,18,27,42,90,544
2012-13,23,SAC,NBA,PF,24,3,556,83,168,.494,16,36,.444,67,132,.508,.542,11,14,.786,40,76,116,30,13,13,19,48,193
2013-14,24,TOT,NBA,PF,65,13,1533,225,489,.460,55,151,.364,170,338,.503,.516,50,71,.704,117,225,342,78,55,37,65,159,555
2013-14,24,SAC,NBA,PF,17,6,415,50,122,.410,9,39,.231,41,83,.494,.447,9,16,.563,34,65,99,15,13,3,16,39,118
2013-14,24,TOR,NBA,PF,48,7,1118,175,367,.477,46,112,.411,129,255,.506,.540,41,55,.745,83,160,243,63,42,34,49,120,437
2014-15,25,TOR,NBA,PF,21,3,547,61,131,.466,31,71,.437,30,60,.500,.584,16,20,.800,33,88,121,33,13,10,14,37,169
Career,,,NBA,,273,64,6206,979,2021,.484,137,359,.382,842,1662,.507,.518,184,253,.727,461,825,1286,286,143,160,220,524,2279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,HOU,NBA,,163,45,3570,610,1233,.495,35,101,.347,575,1132,.508,.509,107,148,.723,271,436,707,145,62,100,122,280,1362
2 seasons,,TOR,NBA,,69,10,1665,236,498,.474,77,183,.421,159,315,.505,.551,57,75,.760,116,248,364,96,55,44,63,157,606
2 seasons,,SAC,NBA,,41,9,971,133,290,.459,25,75,.333,108,215,.502,.502,20,30,.667,74,141,215,45,26,16,35,87,311
