
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,23,CLE,NBA,PG,82,36,2093,339,755,.449,10,49,.204,329,706,.466,.456,226,292,.774,85,195,280,476,84,17,166,194,914
2000-01,24,CLE,NBA,PG,82,82,2848,452,999,.452,17,64,.266,435,935,.465,.461,375,450,.833,94,266,360,657,119,28,265,229,1296
2001-02,25,CLE,NBA,PG,81,81,3023,474,1045,.454,22,87,.253,452,958,.472,.464,365,447,.817,108,271,379,882,126,34,245,228,1335
2002-03,26,LAC,NBA,PG,80,80,2913,377,928,.406,23,108,.213,354,820,.432,.419,311,391,.795,84,232,316,537,99,11,206,203,1088
2003-04,27,DEN,NBA,PG,82,82,2838,430,941,.457,12,65,.185,418,876,.477,.463,342,411,.832,127,239,366,501,142,25,215,194,1214
2004-05,28,DEN,NBA,PG,82,82,2852,427,895,.477,6,39,.154,421,856,.492,.480,253,302,.838,100,238,338,569,121,8,220,204,1113
2005-06,29,DEN,NBA,PG,82,82,2937,404,872,.463,5,27,.185,399,845,.472,.466,313,424,.738,92,259,351,674,106,18,256,213,1126
2006-07,30,TOT,NBA,PG,80,79,2966,424,909,.466,5,35,.143,419,874,.479,.469,222,283,.784,97,255,352,625,110,10,222,184,1075
2006-07,30,DEN,NBA,PG,23,23,822,117,248,.472,4,16,.250,113,232,.487,.480,62,85,.729,25,79,104,209,37,4,70,58,300
2006-07,30,PHI,NBA,PG,57,56,2144,307,661,.464,1,19,.053,306,642,.477,.465,160,198,.808,72,176,248,416,73,6,152,126,775
2007-08,31,PHI,NBA,PG,82,82,3016,569,1156,.492,3,34,.088,566,1122,.504,.494,257,333,.772,95,229,324,565,105,6,206,181,1398
2008-09,32,PHI,NBA,PG,82,82,2976,492,1041,.473,15,53,.283,477,988,.483,.480,338,409,.826,123,245,368,534,109,14,199,196,1337
2009-10,33,POR,NBA,PG,82,66,2500,404,908,.445,16,80,.200,388,828,.469,.454,322,392,.821,81,185,266,445,93,9,173,169,1146
2010-11,34,POR,NBA,PG,81,81,2650,388,844,.460,4,37,.108,384,807,.476,.462,249,292,.853,97,205,302,566,114,12,197,171,1029
2011-12,35,DEN,NBA,SG,66,7,1809,242,552,.438,18,83,.217,224,469,.478,.455,137,169,.811,53,168,221,441,63,9,177,133,639
2012-13,36,DEN,NBA,PG,82,11,2151,303,632,.479,17,64,.266,286,568,.504,.493,163,194,.840,60,178,238,484,73,11,172,159,786
2013-14,37,TOT,NBA,SG,58,2,982,106,231,.459,11,21,.524,95,210,.452,.483,60,77,.779,28,102,130,197,34,9,61,75,283
2013-14,37,DEN,NBA,SG,30,2,570,66,144,.458,9,18,.500,57,126,.452,.490,35,47,.745,16,57,73,100,15,7,33,32,176
2013-14,37,WAS,NBA,SG,28,0,412,40,87,.460,2,3,.667,38,84,.452,.471,25,30,.833,12,45,57,97,19,2,28,43,107
2014-15,38,WAS,NBA,PG,21,0,267,38,60,.633,0,3,.000,38,57,.667,.633,12,19,.632,7,19,26,68,5,0,16,32,88
Career,,,NBA,,1205,935,38821,5869,12768,.460,184,849,.217,5685,11919,.477,.467,3945,4885,.808,1331,3286,4617,8221,1503,221,2996,2765,15867
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,DEN,NBA,,447,289,13979,1989,4284,.464,71,312,.228,1918,3972,.483,.473,1305,1632,.800,473,1218,1691,2978,557,82,1143,993,5354
3 seasons,,CLE,NBA,,245,199,7964,1265,2799,.452,49,200,.245,1216,2599,.468,.461,966,1189,.812,287,732,1019,2015,329,79,676,651,3545
3 seasons,,PHI,NBA,,221,220,8136,1368,2858,.479,19,106,.179,1349,2752,.490,.482,755,940,.803,290,650,940,1515,287,26,557,503,3510
2 seasons,,POR,NBA,,163,147,5150,792,1752,.452,20,117,.171,772,1635,.472,.458,571,684,.835,178,390,568,1011,207,21,370,340,2175
1 season,,LAC,NBA,,80,80,2913,377,928,.406,23,108,.213,354,820,.432,.419,311,391,.795,84,232,316,537,99,11,206,203,1088
2 seasons,,WAS,NBA,,49,0,679,78,147,.531,2,6,.333,76,141,.539,.537,37,49,.755,19,64,83,165,24,2,44,75,195
