
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,22,TOR,NBA,PF,29,0,342,42,75,.560,1,2,.500,41,73,.562,.567,31,38,.816,30,47,77,11,13,15,17,53,116
2013-14,23,TOT,NBA,SF,63,0,847,66,141,.468,4,15,.267,62,126,.492,.482,35,53,.660,72,144,216,28,23,26,30,122,171
2013-14,23,TOR,NBA,SF,7,0,61,6,14,.429,2,5,.400,4,9,.444,.500,5,8,.625,5,10,15,4,4,3,2,8,19
2013-14,23,SAC,NBA,SF,56,0,786,60,127,.472,2,10,.200,58,117,.496,.480,30,45,.667,67,134,201,24,19,23,28,114,152
2014-15,24,NYK,NBA,PF,19,12,422,42,83,.506,1,3,.333,41,80,.513,.512,22,28,.786,31,72,103,21,4,4,24,50,107
Career,,,NBA,,111,12,1611,150,299,.502,6,20,.300,144,279,.516,.512,88,119,.739,133,263,396,60,40,45,71,225,394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,SAC,NBA,,56,0,786,60,127,.472,2,10,.200,58,117,.496,.480,30,45,.667,67,134,201,24,19,23,28,114,152
2 seasons,,TOR,NBA,,36,0,403,48,89,.539,3,7,.429,45,82,.549,.556,36,46,.783,35,57,92,15,17,18,19,61,135
1 season,,NYK,NBA,,19,12,422,42,83,.506,1,3,.333,41,80,.513,.512,22,28,.786,31,72,103,21,4,4,24,50,107
