
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,20,PHO,NBA,PF,82,71,2570,392,830,.472,2,10,.200,390,820,.476,.473,320,484,.661,250,471,721,78,62,87,189,269,1106
2003-04,21,PHO,NBA,PF,55,53,2025,411,865,.475,1,5,.200,410,860,.477,.476,310,435,.713,157,339,496,78,64,89,177,188,1133
2004-05 ★,22,PHO,NBA,C,80,80,2889,747,1336,.559,3,16,.188,744,1320,.564,.560,583,795,.733,219,494,713,131,77,130,189,278,2080
2005-06,23,PHO,NBA,C,3,3,50,9,27,.333,0,1,.000,9,26,.346,.333,8,9,.889,6,10,16,2,1,3,1,4,26
2006-07 ★,24,PHO,NBA,C,82,78,2689,607,1055,.575,0,3,.000,607,1052,.577,.575,457,585,.781,222,564,786,84,78,110,232,295,1671
2007-08 ★,25,PHO,NBA,C,79,79,2677,714,1211,.590,5,31,.161,709,1180,.601,.592,556,691,.805,178,541,719,118,64,163,174,294,1989
2008-09 ★,26,PHO,NBA,PF,53,53,1948,404,749,.539,3,7,.429,401,742,.540,.541,323,387,.835,116,314,430,104,49,57,150,163,1134
2009-10 ★,27,PHO,NBA,PF,82,82,2838,704,1264,.557,1,6,.167,703,1258,.559,.557,487,632,.771,230,502,732,82,52,83,213,281,1896
2010-11 ★,28,NYK,NBA,C,78,78,2870,744,1482,.502,10,23,.435,734,1459,.503,.505,473,597,.792,198,438,636,202,71,150,250,274,1971
2011-12,29,NYK,NBA,PF,47,47,1543,316,654,.483,5,21,.238,311,633,.491,.487,186,243,.765,106,261,367,52,38,45,112,138,823
2012-13,30,NYK,NBA,PF,29,0,682,154,267,.577,0,0,,154,267,.577,.577,105,130,.808,60,85,145,13,10,21,50,89,413
2013-14,31,NYK,NBA,C,65,21,1466,311,558,.557,0,0,,311,558,.557,.557,150,203,.739,112,208,320,34,23,37,91,159,772
2014-15,32,NYK,NBA,PF,21,6,545,108,191,.565,0,2,.000,108,189,.571,.565,55,77,.714,52,114,166,24,10,15,38,67,271
Career,,,NBA,,756,651,24792,5621,10489,.536,30,125,.240,5591,10364,.539,.537,4013,5268,.762,1906,4341,6247,1002,599,990,1866,2499,15285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,PHO,NBA,,516,499,17686,3988,7337,.544,15,79,.190,3973,7258,.547,.545,3044,4018,.758,1378,3235,4613,677,447,722,1325,1772,11035
5 seasons,,NYK,NBA,,240,152,7106,1633,3152,.518,15,46,.326,1618,3106,.521,.520,969,1250,.775,528,1106,1634,325,152,268,541,727,4250
