
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,23,GSW,NBA,SG,61,0,267,43,116,.371,10,34,.294,33,82,.402,.414,27,44,.614,5,17,22,22,17,4,18,27,123
2013-14,24,TOT,NBA,SG,67,15,911,147,343,.429,43,128,.336,104,215,.484,.491,66,109,.606,10,107,117,91,43,13,79,102,403
2013-14,24,GSW,NBA,SG,44,0,268,36,97,.371,10,39,.256,26,58,.448,.423,19,36,.528,5,35,40,20,12,6,28,42,101
2013-14,24,LAL,NBA,SG,23,15,643,111,246,.451,33,89,.371,78,157,.497,.518,47,73,.644,5,72,77,71,31,7,51,60,302
2014-15,25,ATL,NBA,SG,16,0,148,13,36,.361,2,9,.222,11,27,.407,.389,3,7,.429,4,30,34,8,5,3,9,19,31
Career,,,NBA,,144,15,1326,203,495,.410,55,171,.322,148,324,.457,.466,96,160,.600,19,154,173,121,65,20,106,148,557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,GSW,NBA,,105,0,535,79,213,.371,20,73,.274,59,140,.421,.418,46,80,.575,10,52,62,42,29,10,46,69,224
1 season,,LAL,NBA,,23,15,643,111,246,.451,33,89,.371,78,157,.497,.518,47,73,.644,5,72,77,71,31,7,51,60,302
1 season,,ATL,NBA,,16,0,148,13,36,.361,2,9,.222,11,27,.407,.389,3,7,.429,4,30,34,8,5,3,9,19,31
