
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1999-00,20,CHI,NBA,PF,81,80,2999,630,1306,.482,0,2,.000,630,1304,.483,.482,367,536,.685,348,462,810,155,66,132,228,259,1627
2000-01,21,CHI,NBA,PF,74,74,2906,578,1215,.476,0,2,.000,578,1213,.477,.476,334,472,.708,285,461,746,240,71,118,219,243,1490
2001-02 ★,22,LAC,NBA,PF,80,80,3020,532,1010,.527,0,0,,532,1010,.527,.527,389,524,.742,396,529,925,191,80,163,173,254,1453
2002-03,23,LAC,NBA,PF,62,61,2454,451,899,.502,0,1,.000,451,898,.502,.502,244,356,.685,283,420,703,157,71,158,161,204,1146
2003-04,24,LAC,NBA,PF,69,68,2670,484,982,.493,0,1,.000,484,981,.493,.493,411,532,.773,269,445,714,227,64,154,193,229,1379
2004-05,25,LAC,NBA,PF,81,81,3001,629,1251,.503,0,3,.000,629,1248,.504,.503,364,484,.752,296,474,770,208,62,169,183,240,1622
2005-06 ★,26,LAC,NBA,PF,79,79,3099,756,1435,.527,1,3,.333,755,1432,.527,.527,440,568,.775,236,554,790,208,81,201,173,227,1953
2006-07,27,LAC,NBA,PF,80,80,3077,645,1211,.533,1,1,1.000,644,1210,.532,.533,351,461,.761,268,476,744,235,77,179,202,238,1642
2007-08,28,LAC,NBA,PF,8,6,274,52,114,.456,0,0,,52,114,.456,.456,37,47,.787,21,43,64,16,3,15,17,21,141
2008-09,29,PHI,NBA,PF,29,23,920,163,365,.447,0,0,,163,365,.447,.447,73,108,.676,77,177,254,37,17,45,68,78,399
2009-10,30,PHI,NBA,PF,76,57,2297,412,858,.480,0,1,.000,412,857,.481,.480,172,233,.738,179,282,461,109,82,80,131,232,996
2010-11,31,PHI,NBA,PF,81,81,2809,502,981,.512,0,1,.000,502,980,.512,.512,213,273,.780,237,439,676,120,92,106,101,244,1217
2011-12,32,PHI,NBA,C,60,60,1732,287,581,.494,0,1,.000,287,580,.495,.494,85,116,.733,145,284,429,97,58,97,65,176,659
2012-13,33,DAL,NBA,C,72,18,1527,226,478,.473,0,1,.000,226,477,.474,.473,66,93,.710,130,300,430,70,50,90,57,192,518
2013-14,34,ATL,NBA,PF,73,15,1414,179,332,.539,0,2,.000,179,330,.542,.539,61,94,.649,97,264,361,74,40,88,60,192,419
2014-15,35,ATL,NBA,PF,4,0,56,7,12,.583,0,0,,7,12,.583,.583,2,6,.333,3,10,13,5,1,2,3,4,16
Career,,,NBA,,1009,863,34255,6533,13030,.501,2,19,.105,6531,13011,.502,.501,3609,4903,.736,3270,5620,8890,2149,915,1797,2034,3033,16677
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,LAC,NBA,,459,455,17595,3549,6902,.514,2,9,.222,3547,6893,.515,.514,2236,2972,.752,1769,2941,4710,1242,438,1039,1102,1413,9336
4 seasons,,PHI,NBA,,246,221,7758,1364,2785,.490,0,3,.000,1364,2782,.490,.490,543,730,.744,638,1182,1820,363,249,328,365,730,3271
2 seasons,,CHI,NBA,,155,154,5905,1208,2521,.479,0,4,.000,1208,2517,.480,.479,701,1008,.695,633,923,1556,395,137,250,447,502,3117
2 seasons,,ATL,NBA,,77,15,1470,186,344,.541,0,2,.000,186,342,.544,.541,63,100,.630,100,274,374,79,41,90,63,196,435
1 season,,DAL,NBA,,72,18,1527,226,478,.473,0,1,.000,226,477,.474,.473,66,93,.710,130,300,430,70,50,90,57,192,518
