
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,UTA,NBA,PF,82,1,1472,209,398,.525,1,3,.333,208,395,.527,.526,140,208,.673,183,240,423,62,67,74,94,236,559
2007-08,22,UTA,NBA,PF,82,2,1702,253,502,.504,0,4,.000,253,498,.508,.504,155,229,.677,167,293,460,81,72,73,87,269,661
2008-09,23,UTA,NBA,PF,76,38,2290,400,749,.534,0,4,.000,400,745,.537,.534,228,326,.699,251,403,654,138,78,73,129,288,1028
2009-10,24,UTA,NBA,PF,82,8,2277,385,716,.538,1,9,.111,384,707,.543,.538,183,264,.693,186,373,559,131,64,99,116,285,954
2010-11,25,UTA,NBA,PF,76,76,2605,525,988,.531,9,23,.391,516,965,.535,.536,256,338,.757,164,415,579,187,103,69,145,272,1315
2011-12,26,UTA,NBA,PF,64,62,2100,426,861,.495,7,31,.226,419,830,.505,.499,202,255,.792,180,383,563,150,118,52,112,222,1061
2012-13,27,UTA,NBA,PF,78,78,2375,429,875,.490,13,39,.333,416,836,.498,.498,264,356,.742,177,377,554,201,102,80,138,232,1135
2013-14 ★,28,ATL,NBA,PF,74,73,2482,483,1047,.461,76,212,.358,407,835,.487,.498,286,391,.731,154,473,627,232,129,78,185,210,1328
2014-15,29,ATL,NBA,PF,21,21,714,129,266,.485,22,61,.361,107,205,.522,.526,68,104,.654,35,127,162,65,48,19,50,61,348
Career,,,NBA,,635,359,18017,3239,6402,.506,129,386,.334,3110,6016,.517,.516,1782,2471,.721,1497,3084,4581,1247,781,617,1056,2075,8389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,UTA,NBA,,540,265,14821,2627,5089,.516,31,113,.274,2596,4976,.522,.519,1428,1976,.723,1308,2484,3792,950,604,520,821,1804,6713
2 seasons,,ATL,NBA,,95,94,3196,612,1313,.466,98,273,.359,514,1040,.494,.503,354,495,.715,189,600,789,297,177,97,235,271,1676
