
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,22,CHI,NBA,SG,71,4,868,109,256,.426,15,42,.357,94,214,.439,.455,23,45,.511,35,118,153,60,33,11,60,100,256
2007-08,23,CHI,NBA,SG,69,22,1436,180,421,.428,29,88,.330,151,333,.453,.462,75,104,.721,50,205,255,129,61,30,93,128,464
2008-09,24,TOT,NBA,SF-SG,66,36,1453,152,357,.426,24,87,.276,128,270,.474,.459,61,73,.836,54,188,242,111,75,45,64,104,389
2008-09,24,CHI,NBA,SF,43,14,735,79,182,.434,15,50,.300,64,132,.485,.475,21,25,.840,26,97,123,65,35,19,37,50,194
2008-09,24,OKC,NBA,SG,23,22,718,73,175,.417,9,37,.243,64,138,.464,.443,40,48,.833,28,91,119,46,40,26,27,54,195
2009-10,25,OKC,NBA,SG,82,82,2348,194,441,.440,41,131,.313,153,310,.494,.486,60,89,.674,76,311,387,145,97,46,90,154,489
2010-11,26,OKC,NBA,SG,79,79,2049,157,333,.471,28,102,.275,129,231,.558,.514,59,79,.747,65,281,346,111,97,38,55,171,401
2011-12,27,OKC,NBA,SG,42,42,914,67,155,.432,31,71,.437,36,84,.429,.532,38,43,.884,21,107,128,47,37,17,40,78,203
2012-13,28,OKC,NBA,SG,81,81,2229,224,466,.481,108,258,.419,116,208,.558,.597,57,69,.826,58,259,317,125,103,44,64,177,613
2013-14,29,OKC,NBA,SG,61,61,1584,141,340,.415,48,152,.316,93,188,.495,.485,53,69,.768,50,170,220,94,79,17,55,90,383
2014-15,30,ATL,NBA,SF,19,4,365,35,102,.343,4,30,.133,31,72,.431,.363,18,25,.720,22,65,87,25,13,11,14,31,92
Career,,,NBA,,570,411,13246,1259,2871,.439,328,961,.341,931,1910,.487,.496,444,596,.745,431,1704,2135,847,595,259,535,1033,3290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,OKC,NBA,,368,367,9842,856,1910,.448,265,751,.353,591,1159,.510,.518,307,397,.773,298,1219,1517,568,453,188,331,724,2284
3 seasons,,CHI,NBA,,183,40,3039,368,859,.428,59,180,.328,309,679,.455,.463,119,174,.684,111,420,531,254,129,60,190,278,914
1 season,,ATL,NBA,,19,4,365,35,102,.343,4,30,.133,31,72,.431,.363,18,25,.720,22,65,87,25,13,11,14,31,92
