Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22,PHI,NBA,SG,78,14,1797,225,529,0.425,14,44,0.318,211,485,0.435,0.439,101,125,0.808,42,264,306,159,49,14,80,138,565
2011-12,23,PHI,NBA,SF,65,20,1713,263,590,0.446,11,49,0.224,252,541,0.466,0.455,73,108,0.676,27,349,376,180,40,20,105,117,610
2012-13,24,PHI,NBA,SF,82,82,2892,441,1053,0.419,58,159,0.365,383,894,0.428,0.446,154,208,0.74,56,461,517,354,71,17,187,197,1094
2013-14,25,TOT,NBA,SF,81,56,2457,434,1021,0.425,50,156,0.321,384,865,0.444,0.45,213,262,0.813,62,346,408,262,67,7,189,195,1131
2013-14,25,PHI,NBA,SF,54,54,1886,356,831,0.428,38,132,0.288,318,699,0.455,0.451,189,228,0.829,50,272,322,198,56,5,155,147,939
2013-14,25,IND,NBA,SF,27,2,571,78,190,0.411,12,24,0.5,66,166,0.398,0.442,24,34,0.706,12,74,86,64,11,2,34,48,192
2014-15,26,BOS,NBA,SG,17,1,369,61,130,0.469,5,17,0.294,56,113,0.496,0.488,24,26,0.923,12,51,63,55,12,4,32,29,151
Career,,,NBA,,323,173,9228,1424,3323,0.429,138,425,0.325,1286,2898,0.444,0.449,565,729,0.775,199,1471,1670,1010,239,62,593,676,3551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,PHI,NBA,,279,170,8288,1285,3003,0.428,121,384,0.315,1164,2619,0.444,0.448,517,669,0.773,175,1346,1521,891,216,56,527,599,3208
1 season,,IND,NBA,,27,2,571,78,190,0.411,12,24,0.5,66,166,0.398,0.442,24,34,0.706,12,74,86,64,11,2,34,48,192
1 season,,BOS,NBA,,17,1,369,61,130,0.469,5,17,0.294,56,113,0.496,0.488,24,26,0.923,12,51,63,55,12,4,32,29,151
