
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001-02,20,UTA,NBA,SF,82,40,2151,285,633,.450,25,100,.250,260,533,.488,.470,285,371,.768,149,253,402,94,116,159,108,156,880
2002-03,21,UTA,NBA,SF,80,11,2213,315,642,.491,37,114,.325,278,528,.527,.519,296,370,.800,147,273,420,138,118,175,136,185,963
2003-04 ★,22,UTA,NBA,PF,78,78,2895,412,931,.443,68,201,.338,344,730,.471,.479,392,496,.790,226,403,629,244,150,215,215,174,1284
2004-05,23,UTA,NBA,PF,41,37,1349,207,420,.493,23,77,.299,184,343,.536,.520,203,259,.784,89,166,255,132,67,136,90,101,640
2005-06,24,UTA,NBA,SF,69,63,2604,336,730,.460,36,117,.308,300,613,.489,.485,346,495,.699,161,391,552,299,102,220,203,162,1054
2006-07,25,UTA,NBA,SF,70,70,2049,197,418,.471,16,75,.213,181,343,.528,.490,174,239,.728,88,241,329,202,74,144,135,172,584
2007-08,26,UTA,NBA,SF,72,72,2217,275,544,.506,44,116,.379,231,428,.540,.546,198,257,.770,121,218,339,285,86,109,140,165,792
2008-09,27,UTA,NBA,PF,67,10,1831,256,570,.449,20,73,.274,236,497,.475,.467,244,311,.785,84,235,319,175,83,77,121,127,776
2009-10,28,UTA,NBA,SF,58,35,1681,244,482,.506,26,89,.292,218,393,.555,.533,174,234,.744,76,188,264,158,83,71,79,102,688
2010-11,29,UTA,NBA,SF,64,62,1999,253,542,.467,36,98,.367,217,444,.489,.500,208,270,.770,100,227,327,192,81,74,117,113,750
2011-12,30,Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia),Did Not Play (other pro league—Russia)
2012-13,31,MIN,NBA,SF,64,64,2034,284,560,.507,35,120,.292,249,440,.566,.538,188,250,.752,102,260,362,177,96,62,119,82,791
2013-14,32,BRK,NBA,PF,45,4,857,82,160,.513,1,5,.200,81,155,.523,.516,61,119,.513,55,91,146,72,40,19,54,65,226
2014-15,33,BRK,NBA,SF,7,0,36,0,5,.000,0,0,,0,5,.000,.000,3,4,.750,2,6,8,1,1,0,1,1,3
Career,,,NBA,,797,546,23916,3146,6637,.474,367,1185,.310,2779,5452,.510,.502,2772,3675,.754,1400,2952,4352,2169,1097,1461,1518,1605,9431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 seasons,,UTA,NBA,,681,478,20989,2780,5912,.470,331,1060,.312,2449,4852,.505,.498,2520,3302,.763,1241,2595,3836,1919,960,1380,1344,1457,8411
1 season,,MIN,NBA,,64,64,2034,284,560,.507,35,120,.292,249,440,.566,.538,188,250,.752,102,260,362,177,96,62,119,82,791
2 seasons,,BRK,NBA,,52,4,893,82,165,.497,1,5,.200,81,160,.506,.500,64,123,.520,57,97,154,73,41,19,55,66,229
