
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,UTA,NBA,PG,80,47,2307,339,805,.421,91,219,.416,248,586,.423,.478,95,135,.704,35,159,194,359,60,17,145,233,864
2006-07,22,UTA,NBA,PG,80,80,2950,494,1083,.456,82,255,.322,412,828,.498,.494,227,296,.767,41,226,267,745,78,13,246,254,1297
2007-08,23,UTA,NBA,PG,82,82,3059,566,1117,.507,83,210,.395,483,907,.533,.544,330,411,.803,34,209,243,862,90,23,279,200,1545
2008-09,24,UTA,NBA,PG,68,68,2505,463,984,.471,70,226,.310,393,758,.518,.506,326,384,.849,24,171,195,725,73,20,228,134,1322
2009-10 ★,25,UTA,NBA,PG,76,76,2802,494,1053,.469,96,259,.371,398,794,.501,.515,335,418,.801,50,253,303,798,96,16,252,208,1419
2010-11 ★,26,TOT,NBA,PG,65,65,2465,428,975,.439,105,317,.331,323,658,.491,.493,348,412,.845,40,220,260,667,79,15,230,190,1309
2010-11 ★,26,UTA,NBA,PG,53,53,2009,369,806,.458,89,258,.345,280,548,.511,.513,302,354,.853,32,173,205,514,64,12,187,152,1129
2010-11 ★,26,NJN,NBA,PG,12,12,456,59,169,.349,16,59,.271,43,110,.391,.396,46,58,.793,8,47,55,153,15,3,43,38,180
2011-12 ★,27,NJN,NBA,PG,55,55,1999,391,961,.407,115,342,.336,276,619,.446,.467,257,305,.843,23,160,183,481,67,20,219,121,1154
2012-13,28,BRK,NBA,PG,78,78,2842,495,1124,.440,169,447,.378,326,677,.482,.516,317,369,.859,29,203,232,604,75,30,218,194,1476
2013-14,29,BRK,NBA,PG,64,58,2059,322,716,.450,98,268,.366,224,448,.500,.518,173,216,.801,15,153,168,392,93,13,143,148,915
2014-15,30,BRK,NBA,PG,18,18,658,107,241,.444,32,78,.410,75,163,.460,.510,66,74,.892,8,55,63,112,21,8,48,47,312
Career,,,NBA,,666,627,23646,4099,9059,.452,941,2621,.359,3158,6438,.491,.504,2474,3020,.819,299,1809,2108,5745,732,175,2008,1729,11613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,UTA,NBA,,439,406,15632,2725,5848,.466,511,1427,.358,2214,4421,.501,.510,1615,1998,.808,216,1191,1407,4003,461,101,1337,1181,7576
5 seasons,,NJNBRK,NBA,,227,221,8014,1374,3211,.428,430,1194,.360,944,2017,.468,.495,859,1022,.841,83,618,701,1742,271,74,671,548,4037
