
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,MIN,NBA,C,81,37,2048,316,688,.459,2,19,.105,314,669,.469,.461,265,336,.789,274,460,734,84,35,50,118,205,899
2009-10,21,MIN,NBA,PF,60,22,1714,291,646,.450,35,106,.330,256,540,.474,.478,225,276,.815,227,431,658,136,43,23,117,136,842
2010-11 ★,22,MIN,NBA,PF,73,73,2611,482,1026,.470,88,211,.417,394,815,.483,.513,424,499,.850,330,782,1112,184,45,28,155,148,1476
2011-12 ★,23,MIN,NBA,PF,55,55,2145,474,1059,.448,105,282,.372,369,777,.475,.497,379,460,.824,226,508,734,111,47,28,128,152,1432
2012-13,24,MIN,NBA,PF,18,18,618,105,298,.352,20,92,.217,85,206,.413,.386,100,142,.704,64,188,252,42,13,9,39,34,330
2013-14 ★,25,MIN,NBA,PF,77,77,2797,650,1421,.457,190,505,.376,460,916,.502,.524,520,633,.821,224,739,963,341,59,35,196,136,2010
2014-15,26,CLE,NBA,PF,20,20,714,115,258,.446,35,95,.368,80,163,.491,.514,83,102,.814,38,162,200,42,13,7,38,51,348
Career,,,NBA,,384,302,12647,2433,5396,.451,475,1310,.363,1958,4086,.479,.495,1996,2448,.815,1383,3270,4653,940,255,180,791,862,7337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,MIN,NBA,,364,282,11933,2318,5138,.451,440,1215,.362,1878,3923,.479,.494,1913,2346,.815,1345,3108,4453,898,242,173,753,811,6989
1 season,,CLE,NBA,,20,20,714,115,258,.446,35,95,.368,80,163,.491,.514,83,102,.814,38,162,200,42,13,7,38,51,348
