
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,22,DAL,NBA,PG,33,1,191,28,78,.359,6,21,.286,22,57,.386,.397,16,24,.667,7,18,25,24,1,1,14,19,78
2007-08,23,DAL,NBA,PG,44,9,460,71,170,.418,21,54,.389,50,116,.431,.479,28,35,.800,4,43,47,58,14,1,35,48,191
2008-09,24,DAL,NBA,SG,79,15,1600,246,557,.442,55,154,.357,191,403,.474,.491,70,93,.753,36,141,177,269,37,5,105,121,617
2009-10,25,DAL,NBA,PG,78,18,1546,232,527,.440,56,157,.357,176,370,.476,.493,76,90,.844,17,129,146,258,35,6,102,119,596
2010-11,26,DAL,NBA,PG,81,2,1669,285,649,.439,66,189,.349,219,460,.476,.490,133,157,.847,29,130,159,317,30,1,136,136,769
2011-12,27,MIN,NBA,PG,41,11,1032,167,418,.400,53,143,.371,114,275,.415,.463,76,98,.776,14,100,114,232,21,0,103,61,463
2012-13,28,MIN,NBA,PG,74,2,1713,316,758,.417,97,280,.346,219,478,.458,.481,105,134,.784,34,173,207,294,32,0,145,131,834
2013-14,29,MIN,NBA,PG,79,1,1471,254,656,.387,73,231,.316,181,425,.426,.443,79,100,.790,16,138,154,303,26,0,125,129,660
2014-15,30,DAL,NBA,PG,23,1,394,70,162,.432,17,50,.340,53,112,.473,.485,29,36,.806,7,33,40,89,17,0,17,39,186
Career,,,NBA,,532,60,10076,1669,3975,.420,444,1279,.347,1225,2696,.454,.476,612,767,.798,164,905,1069,1844,213,14,782,803,4394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,DAL,NBA,,338,46,5860,932,2143,.435,221,625,.354,711,1518,.468,.486,352,435,.809,100,494,594,1015,134,14,409,482,2437
3 seasons,,MIN,NBA,,194,14,4216,737,1832,.402,223,654,.341,514,1178,.436,.463,260,332,.783,64,411,475,829,79,0,373,321,1957
