Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,DET,NBA,SG,75,9,970,99,241,0.411,10,48,0.208,89,193,0.461,0.432,68,87,0.782,36,101,137,52,31,8,34,83,276
2008-09,23,DET,NBA,SG,74,8,1234,131,300,0.437,43,107,0.402,88,193,0.456,0.508,58,71,0.817,30,104,134,44,28,13,43,144,363
2009-10,24,DEN,NBA,SG,82,75,2221,272,585,0.465,108,249,0.434,164,336,0.488,0.557,72,98,0.735,59,193,252,138,46,30,74,225,724
2010-11,25,DEN,NBA,SG,69,69,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867
2011-12,26,DEN,NBA,SG,62,62,2086,329,699,0.471,88,221,0.398,241,478,0.504,0.534,197,247,0.798,40,157,197,149,36,13,85,134,943
2012-13,27,ORL,NBA,SF,64,64,2307,397,905,0.439,72,240,0.3,325,665,0.489,0.478,191,223,0.857,29,210,239,206,40,11,138,137,1057
2013-14,28,ORL,NBA,SG,73,73,2552,464,1011,0.459,128,300,0.427,336,711,0.473,0.522,274,336,0.815,32,230,262,248,35,3,146,136,1330
2014-15,29,DEN,NBA,SG,22,22,684,117,251,0.466,36,94,0.383,81,157,0.516,0.538,50,60,0.833,8,61,69,35,6,2,21,46,320
Career,,,NBA,,521,382,14378,2121,4619,0.459,590,1507,0.392,1531,3112,0.492,0.523,1048,1285,0.816,279,1262,1541,1040,256,111,612,1058,5880
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,DEN,NBA,,235,228,7315,1030,2162,0.476,337,812,0.415,693,1350,0.513,0.554,457,568,0.805,152,617,769,490,122,76,251,558,2854
2 seasons,,DET,NBA,,149,17,2204,230,541,0.425,53,155,0.342,177,386,0.459,0.474,126,158,0.797,66,205,271,96,59,21,77,227,639
2 seasons,,ORL,NBA,,137,137,4859,861,1916,0.449,200,540,0.37,661,1376,0.48,0.502,465,559,0.832,61,440,501,454,75,14,284,273,2387
