Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,MEM,NBA,PF,76,64,1464,191,436,0.438,0,2,0,191,434,0.44,0.438,40,60,0.667,108,238,346,43,52,52,47,206,422
2009-10,21,MEM,NBA,PF,32,1,457,63,146,0.432,0,1,0,63,145,0.434,0.432,17,30,0.567,37,73,110,15,14,14,22,60,143
2010-11,22,MEM,NBA,PF,80,9,1609,310,624,0.497,0,6,0,310,618,0.502,0.497,109,134,0.813,115,227,342,53,52,63,88,228,729
2011-12,23,Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles),Did Not Play (injury—achilles)
2012-13,24,MEM,NBA,PF,59,3,970,162,359,0.451,5,18,0.278,157,341,0.46,0.458,33,46,0.717,68,101,169,33,24,33,43,126,362
2013-14,25,DEN,NBA,SF,68,1,1161,162,410,0.395,24,64,0.375,138,346,0.399,0.424,53,62,0.855,52,158,210,61,39,47,58,185,401
2014-15,26,DEN,NBA,PF,21,0,357,57,139,0.41,15,59,0.254,42,80,0.525,0.464,17,21,0.81,26,53,79,27,20,9,22,54,146
Career,,,NBA,,336,78,6018,945,2114,0.447,44,150,0.293,901,1964,0.459,0.457,269,353,0.762,406,850,1256,232,201,218,280,859,2203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MEM,NBA,,247,77,4500,726,1565,0.464,5,27,0.185,721,1538,0.469,0.465,199,270,0.737,328,639,967,144,142,162,200,620,1656
2 seasons,,DEN,NBA,,89,1,1518,219,549,0.399,39,123,0.317,180,426,0.423,0.434,70,83,0.843,78,211,289,88,59,56,80,239,547
