Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,20,NYK,NBA,SF,35,16,685,106,242,0.438,9,30,0.3,97,212,0.458,0.457,34,54,0.63,38,89,127,33,15,16,27,83,255
2008-09,21,NYK,NBA,SF,82,70,2735,455,1054,0.432,103,314,0.328,352,740,0.476,0.481,171,215,0.795,91,354,445,170,71,75,139,250,1184
2009-10,22,NYK,NBA,SG,65,64,2320,412,860,0.479,40,150,0.267,372,710,0.524,0.502,129,160,0.806,93,255,348,138,46,49,108,184,993
2010-11,23,TOT,NBA,SF,72,49,2401,429,953,0.45,112,320,0.35,317,633,0.501,0.509,130,161,0.807,75,333,408,120,48,94,104,199,1100
2010-11,23,NYK,NBA,SF,51,30,1759,328,712,0.461,86,245,0.351,242,467,0.518,0.521,96,119,0.807,62,241,303,86,34,70,67,152,838
2010-11,23,DEN,NBA,SF,21,19,642,101,241,0.419,26,75,0.347,75,166,0.452,0.473,34,42,0.81,13,92,105,34,14,24,37,47,262
2011-12,24,DEN,NBA,SF,8,6,215,31,79,0.392,3,12,0.25,28,67,0.418,0.411,10,12,0.833,6,35,41,17,6,6,18,18,75
2012-13,25,DEN,NBA,PF,43,8,1079,210,455,0.462,52,126,0.413,158,329,0.48,0.519,88,111,0.793,45,173,218,58,45,12,60,119,560
2013-14,26,DEN,NBA,SF,62,55,1927,307,738,0.416,122,351,0.348,185,387,0.478,0.499,110,152,0.724,58,236,294,114,46,31,79,193,846
2014-15,27,DEN,NBA,SF,22,20,667,122,277,0.44,51,133,0.383,71,144,0.493,0.532,29,35,0.829,28,110,138,28,17,10,36,71,324
Career,,,NBA,,389,288,12029,2072,4658,0.445,492,1436,0.343,1580,3222,0.49,0.498,701,900,0.779,434,1585,2019,678,294,293,571,1117,5337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,NYK,NBA,,233,180,7499,1301,2868,0.454,238,739,0.322,1063,2129,0.499,0.495,430,548,0.785,284,939,1223,427,166,210,341,669,3270
5 seasons,,DEN,NBA,,156,108,4530,771,1790,0.431,254,697,0.364,517,1093,0.473,0.502,271,352,0.77,150,646,796,251,128,83,230,448,2067
