Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,NYK,NBA,SG,28,2,412,56,125,0.448,32,72,0.444,24,53,0.453,0.576,26,27,0.963,13,42,55,15,14,4,15,48,170
2009-10,21,NYK,NBA,SF,81,74,2747,392,927,0.423,186,488,0.381,206,439,0.469,0.523,251,307,0.818,65,333,398,135,75,58,110,191,1221
2010-11,22,TOT,NBA,PF-SF,62,60,2104,265,640,0.414,103,293,0.352,162,347,0.467,0.495,337,391,0.862,59,246,305,104,51,27,83,144,970
2010-11,22,NYK,NBA,PF,48,48,1671,211,509,0.415,83,239,0.347,128,270,0.474,0.496,259,290,0.893,48,181,229,82,38,18,58,117,764
2010-11,22,DEN,NBA,SF,14,12,433,54,131,0.412,20,54,0.37,34,77,0.442,0.489,78,101,0.772,11,65,76,22,13,9,25,27,206
2011-12,23,DEN,NBA,SF,43,40,1351,193,466,0.414,60,183,0.328,133,283,0.47,0.479,182,209,0.871,28,174,202,116,42,23,68,86,628
2012-13,24,DEN,NBA,SF,71,71,2309,364,871,0.418,135,362,0.373,229,509,0.45,0.495,286,348,0.822,65,302,367,176,64,36,111,130,1149
2013-14,25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2014-15,26,DEN,NBA,SF,21,2,373,41,125,0.328,20,71,0.282,21,54,0.389,0.408,39,44,0.886,8,56,64,21,10,5,10,24,141
Career,,,NBA,,306,249,9296,1311,3154,0.416,536,1469,0.365,775,1685,0.46,0.501,1121,1326,0.845,238,1153,1391,567,256,153,397,623,4279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,NYK,NBA,,157,124,4830,659,1561,0.422,301,799,0.377,358,762,0.47,0.519,536,624,0.859,126,556,682,232,127,80,183,356,2155
4 seasons,,DEN,NBA,,149,125,4466,652,1593,0.409,235,670,0.351,417,923,0.452,0.483,585,702,0.833,112,597,709,335,129,73,214,267,2124
