Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,22,WAS,NBA,SG,11,2,182,28,59,0.475,7,9,0.778,21,50,0.42,0.534,18,29,0.621,15,18,33,7,7,1,10,13,81
2010-11,23,TOT,NBA,SG,56,34,1118,121,264,0.458,17,51,0.333,104,213,0.488,0.491,72,92,0.783,62,120,182,38,40,18,55,94,331
2010-11,23,SAS,NBA,SG,5,0,18,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,1,3,0,0,2,3,3,2
2010-11,23,WAS,NBA,SG,11,5,127,12,27,0.444,0,2,0,12,25,0.48,0.444,8,12,0.667,11,11,22,5,7,0,8,10,32
2010-11,23,CLE,NBA,SG,40,29,973,108,234,0.462,17,49,0.347,91,185,0.492,0.498,64,80,0.8,49,108,157,33,33,16,44,81,297
2011-12,24,CLE,NBA,SG,63,31,1827,227,551,0.412,44,137,0.321,183,414,0.442,0.452,167,212,0.788,101,221,322,113,83,17,114,149,665
2012-13,25,CLE,NBA,SF,82,82,2541,305,744,0.41,69,219,0.315,236,525,0.45,0.456,163,205,0.795,75,245,320,133,107,29,132,199,842
2013-14,26,CLE,NBA,SF,65,24,1020,98,236,0.415,19,58,0.328,79,178,0.444,0.456,43,61,0.705,35,114,149,47,39,15,44,96,258
2014-15,27,DEN,NBA,SF,16,0,223,35,70,0.5,2,5,0.4,33,65,0.508,0.514,18,27,0.667,17,18,35,9,11,3,10,14,90
Career,,,NBA,,293,173,6911,814,1924,0.423,158,479,0.33,656,1445,0.454,0.464,481,626,0.768,305,736,1041,347,287,83,365,565,2267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CLE,NBA,,250,166,6361,738,1765,0.418,149,463,0.322,589,1302,0.452,0.46,437,558,0.783,260,688,948,326,262,77,334,525,2062
2 seasons,,WAS,NBA,,22,7,309,40,86,0.465,7,11,0.636,33,75,0.44,0.506,26,41,0.634,26,29,55,12,14,1,18,23,113
1 season,,DEN,NBA,,16,0,223,35,70,0.5,2,5,0.4,33,65,0.508,0.514,18,27,0.667,17,18,35,9,11,3,10,14,90
1 season,,SAS,NBA,,5,0,18,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,2,1,3,0,0,2,3,3,2
