Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,20,CLE,NBA,C,62,0,705,100,194,0.515,0,0,,100,194,0.515,0.515,45,67,0.672,52,113,165,9,14,30,45,81,245
2009-10,21,CLE,NBA,PF,81,73,1691,289,522,0.554,0,1,0,289,521,0.555,0.554,111,163,0.681,110,290,400,40,36,39,92,132,689
2010-11,22,CLE,NBA,C,80,66,2256,429,936,0.458,0,5,0,429,931,0.461,0.458,247,367,0.673,217,478,695,91,48,54,173,215,1105
2011-12,23,TOT,NBA,PF,54,19,1244,183,392,0.467,0,2,0,183,390,0.469,0.467,86,134,0.642,133,202,335,45,30,35,70,85,452
2011-12,23,SAC,NBA,PF,35,9,644,64,173,0.37,0,1,0,64,172,0.372,0.37,37,58,0.638,67,110,177,22,18,17,39,44,165
2011-12,23,POR,NBA,PF,19,10,600,119,219,0.543,0,1,0,119,218,0.546,0.543,49,76,0.645,66,92,158,23,12,18,31,41,287
2012-13,24,POR,NBA,C,80,80,2323,418,744,0.562,0,2,0,418,742,0.563,0.562,182,268,0.679,266,562,828,88,48,51,145,160,1018
2013-14,25,DEN,NBA,PF,69,52,1859,332,654,0.508,0,8,0,332,646,0.514,0.508,150,290,0.517,206,426,632,96,47,51,128,177,814
2014-15,26,DEN,NBA,C,14,3,268,41,96,0.427,0,0,,41,96,0.427,0.427,26,41,0.634,29,68,97,16,5,10,17,37,108
Career,,,NBA,,440,293,10346,1792,3538,0.507,0,18,0,1792,3520,0.509,0.507,847,1330,0.637,1013,2139,3152,385,228,270,670,887,4431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,CLE,NBA,,223,139,4652,818,1652,0.495,0,6,0,818,1646,0.497,0.495,403,597,0.675,379,881,1260,140,98,123,310,428,2039
2 seasons,,POR,NBA,,99,90,2923,537,963,0.558,0,3,0,537,960,0.559,0.558,231,344,0.672,332,654,986,111,60,69,176,201,1305
2 seasons,,DEN,NBA,,83,55,2127,373,750,0.497,0,8,0,373,742,0.503,0.497,176,331,0.532,235,494,729,112,52,61,145,214,922
1 season,,SAC,NBA,,35,9,644,64,173,0.37,0,1,0,64,172,0.372,0.37,37,58,0.638,67,110,177,22,18,17,39,44,165
