Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,21,WAS,NBA,C,75,14,1143,191,387,0.494,0,0,,191,387,0.494,0.494,107,162,0.66,120,174,294,23,33,75,61,155,489
2009-10,22,WAS,NBA,C,60,19,968,156,307,0.508,0,1,0,156,306,0.51,0.508,74,116,0.638,88,155,243,14,16,101,51,122,386
2010-11,23,WAS,NBA,C,79,75,2193,332,604,0.55,0,3,0,332,601,0.552,0.55,134,230,0.583,223,411,634,38,41,193,102,232,798
2011-12,24,TOT,NBA,C,61,45,1535,307,552,0.556,0,0,,307,552,0.556,0.556,77,167,0.461,163,314,477,31,35,132,87,166,691
2011-12,24,WAS,NBA,C,41,40,1124,214,400,0.535,0,0,,214,400,0.535,0.535,58,116,0.5,127,235,362,25,25,101,68,118,486
2011-12,24,DEN,NBA,C,20,5,411,93,152,0.612,0,0,,93,152,0.612,0.612,19,51,0.373,36,79,115,6,10,31,19,48,205
2012-13,25,DEN,NBA,C,79,0,1433,303,527,0.575,1,1,1,302,526,0.574,0.576,110,186,0.591,158,223,381,24,30,157,90,184,717
2013-14,26,DEN,NBA,C,5,5,79,17,38,0.447,0,0,,17,38,0.447,0.447,1,1,1,10,7,17,2,1,7,8,16,35
2014-15,27,DEN,NBA,C,14,0,162,29,50,0.58,0,0,,29,50,0.58,0.58,17,25,0.68,14,28,42,0,2,16,13,25,75
Career,,,NBA,,373,158,7513,1335,2465,0.542,1,5,0.2,1334,2460,0.542,0.542,520,887,0.586,776,1312,2088,132,158,681,412,900,3191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,WAS,NBA,,255,148,5428,893,1698,0.526,0,4,0,893,1694,0.527,0.526,373,624,0.598,558,975,1533,100,115,470,282,627,2159
4 seasons,,DEN,NBA,,118,10,2085,442,767,0.576,1,1,1,441,766,0.576,0.577,147,263,0.559,218,337,555,32,43,211,130,273,1032
