
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,MIL,NBA,PG,82,82,2671,451,1216,.371,145,388,.374,306,828,.370,.431,223,273,.817,49,233,282,470,105,18,200,191,1270
2010-11,21,MIL,NBA,PG,63,61,2169,361,926,.390,98,303,.323,263,623,.422,.443,199,246,.809,42,192,234,305,95,21,146,131,1019
2011-12,22,MIL,NBA,PG,66,66,2331,469,1121,.418,129,388,.332,340,733,.464,.476,193,239,.808,49,177,226,365,104,22,146,114,1260
2012-13,23,MIL,NBA,PG,80,80,2897,497,1247,.399,173,461,.375,324,786,.412,.468,230,281,.819,59,187,246,521,125,10,203,155,1397
2013-14,24,DET,NBA,PG,80,79,2728,423,1135,.373,154,457,.337,269,678,.397,.441,241,321,.751,59,185,244,609,101,8,215,157,1241
2014-15,25,DET,NBA,PG,19,19,560,83,221,.376,28,83,.337,55,138,.399,.439,62,73,.849,11,45,56,118,19,2,44,29,256
Career,,,NBA,,390,387,13356,2284,5866,.389,727,2080,.350,1557,3786,.411,.451,1148,1433,.801,269,1019,1288,2388,549,81,954,777,6443
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,MIL,NBA,,291,289,10068,1778,4510,.394,545,1540,.354,1233,2970,.415,.455,845,1039,.813,199,789,988,1661,429,71,695,591,4946
2 seasons,,DET,NBA,,99,98,3288,506,1356,.373,182,540,.337,324,816,.397,.440,303,394,.769,70,230,300,727,120,10,259,186,1497
