
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,21,PHI,NBA,SG,82,82,2686,269,546,.493,47,142,.331,222,404,.550,.536,156,210,.743,89,375,464,246,138,48,139,204,741
2005-06,22,PHI,NBA,SF,82,82,3086,344,688,.500,56,158,.354,288,530,.543,.541,263,349,.754,117,364,481,255,135,21,153,198,1007
2006-07,23,PHI,NBA,SG,76,76,3062,443,991,.447,48,155,.310,395,836,.472,.471,452,551,.820,77,357,434,432,152,33,261,200,1386
2007-08,24,PHI,NBA,SF,82,82,3242,582,1277,.456,101,307,.329,481,970,.496,.495,365,506,.721,85,361,446,391,171,49,214,187,1630
2008-09,25,PHI,NBA,SF,82,82,3269,542,1147,.473,80,261,.307,462,886,.521,.507,377,521,.724,92,379,471,434,131,36,222,152,1541
2009-10,26,PHI,NBA,SF,82,82,3193,496,1120,.443,94,303,.310,402,817,.492,.485,315,430,.733,82,447,529,472,141,55,218,145,1401
2010-11,27,PHI,NBA,SF,67,67,2469,338,759,.445,61,181,.337,277,578,.479,.486,208,300,.693,61,326,387,422,101,38,138,109,945
2011-12 ★,28,PHI,NBA,SF,62,62,2209,287,632,.454,76,193,.394,211,439,.481,.514,121,196,.617,56,325,381,339,107,30,115,92,771
2012-13,29,DEN,NBA,SG,80,80,2779,396,879,.451,91,287,.317,305,592,.515,.502,155,270,.574,82,341,423,433,139,52,206,127,1038
2013-14,30,GSW,NBA,SF,63,63,2040,220,458,.480,62,175,.354,158,283,.558,.548,86,132,.652,53,240,293,263,95,18,100,103,588
2014-15,31,GSW,NBA,SG,21,0,566,54,124,.435,14,47,.298,40,77,.519,.492,15,32,.469,14,51,65,54,23,4,27,25,137
Career,,,NBA,,779,758,28601,3971,8621,.461,730,2209,.330,3241,6412,.505,.503,2513,3497,.719,808,3566,4374,3741,1333,384,1793,1542,11185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,PHI,NBA,,615,615,23216,3301,7160,.461,563,1700,.331,2738,5460,.501,.500,2257,3063,.737,659,2934,3593,2991,1076,310,1460,1287,9422
2 seasons,,GSW,NBA,,84,63,2606,274,582,.471,76,222,.342,198,360,.550,.536,101,164,.616,67,291,358,317,118,22,127,128,725
1 season,,DEN,NBA,,80,80,2779,396,879,.451,91,287,.317,305,592,.515,.502,155,270,.574,82,341,423,433,139,52,206,127,1038
