
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008-09,25,HOU,NBA,PF,3,0,6,1,2,.500,0,0,,1,2,.500,.500,0,0,,0,1,1,1,0,0,0,0,2
2009-10,26,TOT,NBA,PF,15,0,106,9,20,.450,0,0,,9,20,.450,.450,5,12,.417,16,27,43,2,3,2,6,21,23
2009-10,26,HOU,NBA,PF,7,0,54,5,11,.455,0,0,,5,11,.455,.455,1,2,.500,11,14,25,2,2,1,4,12,11
2009-10,26,SAC,NBA,PF,8,0,52,4,9,.444,0,0,,4,9,.444,.444,4,10,.400,5,13,18,0,1,1,2,9,12
2010-11,27,TOR,NBA,C,43,9,522,52,99,.525,0,0,,52,99,.525,.525,31,65,.477,79,111,190,27,24,17,39,78,135
2011-12,28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2012-13,29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2013-14,30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2014-15,31,HOU,NBA,PF,16,0,159,13,27,.481,0,0,,13,27,.481,.481,4,15,.267,20,34,54,4,5,12,10,36,30
Career,,,NBA,,77,9,793,75,148,.507,0,0,,75,148,.507,.507,40,92,.435,115,173,288,34,32,31,55,135,190
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,TOR,NBA,,43,9,522,52,99,.525,0,0,,52,99,.525,.525,31,65,.477,79,111,190,27,24,17,39,78,135
3 seasons,,HOU,NBA,,26,0,219,19,40,.475,0,0,,19,40,.475,.475,5,17,.294,31,49,80,7,7,13,14,48,43
1 season,,SAC,NBA,,8,0,52,4,9,.444,0,0,,4,9,.444,.444,4,10,.400,5,13,18,0,1,1,2,9,12
