
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,OKC,NBA,SG,76,0,1738,233,578,.403,93,248,.375,140,330,.424,.484,194,240,.808,47,197,244,137,80,20,106,200,753
2010-11,21,OKC,NBA,SG,82,5,2189,298,684,.436,113,324,.349,185,360,.514,.518,289,343,.843,42,213,255,176,92,24,106,207,998
2011-12,22,OKC,NBA,SG,62,2,1946,309,629,.491,114,292,.390,195,337,.579,.582,312,369,.846,30,222,252,229,62,15,137,150,1044
2012-13 ★,23,HOU,NBA,SG,78,78,2985,585,1337,.438,179,486,.368,406,851,.477,.504,674,792,.851,62,317,379,455,142,38,295,178,2023
2013-14 ★,24,HOU,NBA,SG,73,73,2777,549,1205,.456,177,483,.366,372,722,.515,.529,576,665,.866,61,283,344,446,115,29,265,177,1851
2014-15,25,HOU,NBA,SG,21,21,777,157,375,.419,48,142,.338,109,233,.468,.483,175,196,.893,21,113,134,135,42,23,92,59,537
Career,,,NBA,,392,179,12412,2131,4808,.443,724,1975,.367,1407,2833,.497,.519,2220,2605,.852,263,1345,1608,1578,533,149,1001,971,7206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,OKC,NBA,,220,7,5873,840,1891,.444,320,864,.370,520,1027,.506,.529,795,952,.835,119,632,751,542,234,59,349,557,2795
3 seasons,,HOU,NBA,,172,172,6539,1291,2917,.443,404,1111,.364,887,1806,.491,.512,1425,1653,.862,144,713,857,1036,299,90,652,414,4411
