
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2000-01,20,CHI,NBA,PG,61,8,1050,107,304,.352,41,117,.350,66,187,.353,.419,27,34,.794,9,80,89,141,43,14,85,68,282
2001-02,21,CHI,NBA,PG,23,6,481,89,187,.476,26,58,.448,63,129,.488,.545,10,13,.769,5,29,34,55,18,5,32,18,214
2002-03,22,CHI,NBA,PG,80,31,1992,334,808,.413,86,242,.355,248,566,.438,.467,104,129,.806,21,164,185,334,77,25,134,126,858
2003-04,23,CHI,NBA,SG,80,73,2811,509,1318,.386,165,521,.317,344,797,.432,.449,200,240,.833,46,237,283,405,111,29,193,161,1383
2004-05,24,NYK,NBA,SG,70,67,2688,437,1097,.398,185,512,.361,252,585,.431,.483,182,216,.843,33,170,203,302,92,19,148,135,1241
2005-06,25,NYK,NBA,SG,79,27,2555,366,879,.416,101,293,.345,265,586,.452,.474,295,357,.826,36,212,248,301,87,15,175,150,1128
2006-07,26,NYK,NBA,SG,59,36,2198,354,886,.400,103,322,.320,251,564,.445,.458,228,272,.838,44,145,189,259,57,8,162,114,1039
2007-08,27,NYK,NBA,SG,80,80,3190,570,1391,.410,176,494,.356,394,897,.439,.473,329,381,.864,37,170,207,398,81,17,192,144,1645
2008-09,28,TOT,NBA,PG-SG,65,65,2479,419,1022,.410,142,394,.360,277,628,.441,.479,300,344,.872,23,170,193,288,57,13,148,92,1280
2008-09,28,NYK,NBA,SG,11,11,392,73,169,.432,35,77,.455,38,92,.413,.536,35,46,.761,2,15,17,48,9,0,26,13,216
2008-09,28,GSW,NBA,PG,54,54,2087,346,853,.406,107,317,.338,239,536,.446,.468,265,298,.889,21,155,176,240,48,13,122,79,1064
2009-10,29,ATL,NBA,SG,79,0,2460,496,1105,.449,163,427,.382,333,678,.491,.523,270,315,.857,34,167,201,238,61,12,137,132,1425
2010-11,30,ATL,NBA,SG,76,0,2297,368,874,.421,119,349,.341,249,525,.474,.489,222,260,.854,22,108,130,241,57,14,145,97,1077
2011-12,31,POR,NBA,PG,60,6,1613,283,737,.384,80,260,.308,203,477,.426,.438,191,206,.927,16,102,118,191,55,14,111,74,837
2012-13,32,LAC,NBA,SG,76,0,2230,445,1016,.438,149,396,.376,296,620,.477,.511,216,248,.871,22,106,128,193,79,13,146,71,1255
2013-14,33,LAC,NBA,SG,69,24,2094,421,1011,.416,161,446,.361,260,565,.460,.496,279,322,.866,34,124,158,223,59,12,135,120,1282
2014-15,34,LAC,NBA,SG,20,2,538,110,244,.451,44,118,.373,66,126,.524,.541,71,77,.922,1,30,31,62,22,2,33,39,335
Career,,,NBA,,977,425,30676,5308,12879,.412,1741,4949,.352,3567,7930,.450,.480,2924,3414,.856,383,2014,2397,3631,956,212,1976,1541,15281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,NYK,NBA,,299,221,11023,1800,4422,.407,600,1698,.353,1200,2724,.441,.475,1069,1272,.840,152,712,864,1308,326,59,703,556,5269
4 seasons,,CHI,NBA,,244,118,6334,1039,2617,.397,318,938,.339,721,1679,.429,.458,341,416,.820,81,510,591,935,249,73,444,373,2737
3 seasons,,LAC,NBA,,165,26,4862,976,2271,.430,354,960,.369,622,1311,.474,.508,566,647,.875,57,260,317,478,160,27,314,230,2872
2 seasons,,ATL,NBA,,155,0,4757,864,1979,.437,282,776,.363,582,1203,.484,.508,492,575,.856,56,275,331,479,118,26,282,229,2502
1 season,,POR,NBA,,60,6,1613,283,737,.384,80,260,.308,203,477,.426,.438,191,206,.927,16,102,118,191,55,14,111,74,837
1 season,,GSW,NBA,,54,54,2087,346,853,.406,107,317,.338,239,536,.446,.468,265,298,.889,21,155,176,240,48,13,122,79,1064
