
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,21,DAL,NBA,SG,8,0,26,6,14,.429,2,3,.667,4,11,.364,.500,2,2,1.000,1,2,3,1,1,0,2,3,16
2013-14,22,TOT,NBA,SG,13,0,80,6,21,.286,1,7,.143,5,14,.357,.310,13,16,.813,1,5,6,8,3,0,2,16,26
2013-14,22,ATL,NBA,SG,5,0,22,1,2,.500,0,1,.000,1,1,1.000,.500,0,2,.000,0,1,1,3,0,0,2,3,2
2013-14,22,SAC,NBA,SG,8,0,58,5,19,.263,1,6,.167,4,13,.308,.289,13,14,.929,1,4,5,5,3,0,0,13,24
2014-15,23,LAC,NBA,SG,13,0,72,7,25,.280,2,11,.182,5,14,.357,.320,6,11,.545,1,4,5,9,2,0,5,11,22
Career,,,NBA,,34,0,178,19,60,.317,5,21,.238,14,39,.359,.358,21,29,.724,3,11,14,18,6,0,9,30,64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,LAC,NBA,,13,0,72,7,25,.280,2,11,.182,5,14,.357,.320,6,11,.545,1,4,5,9,2,0,5,11,22
1 season,,DAL,NBA,,8,0,26,6,14,.429,2,3,.667,4,11,.364,.500,2,2,1.000,1,2,3,1,1,0,2,3,16
1 season,,SAC,NBA,,8,0,58,5,19,.263,1,6,.167,4,13,.308,.289,13,14,.929,1,4,5,5,3,0,0,13,24
1 season,,ATL,NBA,,5,0,22,1,2,.500,0,1,.000,1,1,1.000,.500,0,2,.000,0,1,1,3,0,0,2,3,2
