
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,20,NOK,NBA,PG,78,78,2808,407,947,.430,50,177,.282,357,770,.464,.456,394,465,.847,61,339,400,611,175,6,183,218,1258
2006-07,21,NOK,NBA,PG,64,64,2353,381,871,.437,50,143,.350,331,728,.455,.466,292,357,.818,54,226,280,569,118,3,161,154,1104
2007-08 ★,22,NOH,NBA,PG,80,80,3006,630,1291,.488,92,249,.369,538,1042,.516,.524,332,390,.851,62,259,321,925,217,4,201,185,1684
2008-09 ★,23,NOH,NBA,PG,78,78,3002,631,1255,.503,64,176,.364,567,1079,.525,.528,455,524,.868,69,363,432,861,216,10,231,212,1781
2009-10 ★,24,NOH,NBA,PG,45,45,1712,314,637,.493,52,127,.409,262,510,.514,.534,161,190,.847,20,171,191,480,96,8,112,118,841
2010-11 ★,25,NOH,NBA,PG,80,80,2880,430,928,.463,71,183,.388,359,745,.482,.502,337,384,.878,38,289,327,782,188,5,177,196,1268
2011-12 ★,26,LAC,NBA,PG,60,60,2181,425,890,.478,79,213,.371,346,677,.511,.522,260,302,.861,42,171,213,543,152,4,124,138,1189
2012-13 ★,27,LAC,NBA,PG,70,70,2335,412,856,.481,76,232,.328,336,624,.538,.526,286,323,.885,53,209,262,678,169,10,159,143,1186
2013-14 ★,28,LAC,NBA,PG,62,62,2171,406,870,.467,78,212,.368,328,658,.498,.511,295,345,.855,38,230,268,663,154,4,145,157,1185
2014-15,29,LAC,NBA,PG,21,21,730,142,277,.513,31,78,.397,111,199,.558,.569,63,72,.875,9,85,94,212,41,6,36,49,378
Career,,,NBA,,638,638,23178,4178,8822,.474,643,1790,.359,3535,7032,.503,.510,2875,3352,.858,446,2342,2788,6324,1526,60,1529,1570,11874
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 seasons,,NOKNOH,NBA,,425,425,15761,2793,5929,.471,379,1055,.359,2414,4874,.495,.503,1971,2310,.853,304,1647,1951,4228,1010,36,1065,1083,7936
4 seasons,,LAC,NBA,,213,213,7417,1385,2893,.479,264,735,.359,1121,2158,.519,.524,904,1042,.868,142,695,837,2096,516,24,464,487,3938
